PO_ID,OrderDate,SupplierID,ProductID,OrderQuantity,UnitCost,TotalCost,ExpectedDelivery,ActualDelivery,Status
PO-2022-00026,10/18/2023,SUP086,P00018,1977,37.25,73644.97,11/22/2023,11/24/2023,Delivered
PO-2022-00027,7/12/2022,SUP076,P00306,1903,26.15,49767.69,8/7/2022,8/4/2022,Delivered
PO-2022-00028,3/23/2023,SUP120,P01152,3917,2.01,7886.03,4/17/2023,4/26/2023,Delivered
PO-2022-00029,8/11/2022,SUP133,P01973,4867,23.91,116357.68,9/9/2022,9/11/2022,Delivered
PO-2022-00030,9/5/2023,SUP110,P01702,797,40.78,32500.98,10/28/2023,11/2/2023,Delivered
PO-2022-00031,3/19/2023,SUP041,P00201,1993,34.73,69224.54,4/18/2023,4/19/2023,Delivered
PO-2022-00032,5/13/2022,SUP047,P00344,4172,51.81,216141.02,6/6/2022,,Cancelled
PO-2022-00033,1/3/2022,SUP044,P01331,2103,25.04,52650.61,2/21/2022,2/22/2022,Delivered
PO-2022-00034,8/24/2023,SUP117,P01315,2255,39.64,89380.78,9/22/2023,9/23/2023,Delivered
PO-2022-00035,8/3/2023,SUP083,P01745,2212,3.33,7356.26,9/7/2023,9/13/2023,Delivered
PO-2022-00036,9/26/2023,SUP082,P01525,3854,12.08,46547.58,11/19/2023,11/25/2023,Delivered
PO-2022-00037,8/26/2022,SUP087,P00063,3938,29.41,115832.54,9/20/2022,9/21/2022,Delivered
PO-2022-00038,4/14/2023,SUP087,P01075,1235,33.96,41939.22,5/9/2023,5/9/2023,Delivered
PO-2022-00039,5/18/2022,SUP145,P01481,1724,38.1,65684.27,7/6/2022,7/14/2022,Delivered
PO-2022-00040,8/25/2023,SUP094,P00061,4047,26.2,106036.16,9/16/2023,9/22/2023,Delivered
PO-2022-00041,8/4/2022,SUP084,P01768,4819,38.53,185693.91,8/26/2022,8/27/2022,Delivered
PO-2022-00042,1/6/2023,SUP033,P01129,853,29.46,25132.85,1/22/2023,1/27/2023,Delivered
PO-2022-00043,8/30/2022,SUP014,P00484,3618,45.78,165615.99,10/28/2022,10/28/2022,Delivered
PO-2022-00044,11/19/2022,SUP087,P01498,795,34.78,27646.19,12/14/2022,,Pending
PO-2022-00045,3/6/2022,SUP030,P01687,3986,47.81,190561.33,4/24/2022,4/20/2022,Delivered
PO-2022-00046,5/13/2022,SUP147,P00916,684,29.35,20076.68,7/7/2022,7/12/2022,Delivered
PO-2022-00047,12/26/2023,SUP142,P01527,2304,15.98,36817.93,1/11/2024,1/11/2024,Delivered
PO-2022-00048,8/18/2023,SUP067,P01478,870,45.8,39845.52,10/11/2023,,Shipped
PO-2022-00049,2/25/2023,SUP103,P01877,2839,25.56,72568.75,4/23/2023,,Pending
PO-2022-00050,4/7/2022,SUP027,P01134,4744,16.21,76916.66,5/25/2022,,Cancelled
PO-2022-00051,5/3/2023,SUP105,P00019,958,45.04,43150.77,7/1/2023,7/5/2023,Delivered
PO-2022-00052,2/7/2023,SUP055,P00624,4851,48.61,235800.46,3/24/2023,3/23/2023,Delivered
PO-2022-00053,5/11/2022,SUP027,P01781,4203,38.46,161660.59,6/28/2022,,Shipped
PO-2022-00054,10/13/2023,SUP119,P01513,3182,32.08,102074.57,11/13/2023,11/11/2023,Delivered
PO-2022-00055,12/7/2023,SUP099,P01761,4107,17.02,69915.63,1/2/2024,1/2/2024,Delivered
PO-2022-00056,9/22/2023,SUP012,P00044,588,23.39,13754.15,11/8/2023,11/15/2023,Delivered
PO-2022-00057,3/8/2022,SUP014,P01116,1881,31.81,59839.81,5/6/2022,5/5/2022,Delivered
PO-2022-00058,10/31/2022,SUP104,P01355,3376,21.32,71972.77,12/1/2022,11/30/2022,Delivered
PO-2022-00059,3/1/2023,SUP054,P01022,2282,10.14,23149.97,4/18/2023,4/18/2023,Delivered
PO-2022-00060,12/21/2023,SUP108,P00484,1169,45.07,52690.75,1/19/2024,1/16/2024,Delivered
PO-2022-00061,1/4/2022,SUP001,P01314,2256,30.6,69025.85,2/13/2022,,Cancelled
PO-2022-00062,3/10/2023,SUP051,P00886,732,38.17,27940.3,4/8/2023,4/17/2023,Delivered
PO-2022-00063,9/15/2023,SUP112,P00320,309,2.76,854.22,10/19/2023,,Pending
PO-2022-00064,4/9/2023,SUP120,P00452,2623,29.19,76577.28,5/4/2023,5/13/2023,Delivered
PO-2022-00065,4/25/2023,SUP020,P00845,4081,27.49,112196.64,5/13/2023,5/13/2023,Delivered
PO-2022-00066,4/29/2023,SUP019,P01715,4419,7.15,31588.26,6/15/2023,,Cancelled
PO-2022-00067,4/24/2022,SUP141,P00651,3536,18.72,66180.68,6/20/2022,,Shipped
PO-2022-00068,9/3/2023,SUP008,P01492,1566,32.75,51284.32,9/27/2023,10/5/2023,Delivered
PO-2022-00069,4/9/2022,SUP091,P00441,819,39.48,32334.02,5/17/2022,5/26/2022,Delivered
PO-2022-00070,3/5/2022,SUP055,P01303,1833,29.04,53224.58,4/19/2022,4/21/2022,Delivered
PO-2022-00071,9/10/2023,SUP105,P01292,3154,18.92,59681.64,11/8/2023,11/10/2023,Delivered
PO-2022-00072,4/9/2023,SUP134,P01949,159,27.95,4443.67,5/30/2023,5/27/2023,Delivered
PO-2022-00073,11/13/2022,SUP002,P01441,289,24.98,7219.42,12/7/2022,12/6/2022,Delivered
PO-2022-00074,6/26/2022,SUP035,P00806,1842,33.88,62400.67,8/20/2022,8/20/2022,Delivered
PO-2022-00075,11/28/2022,SUP137,P01293,2698,9.5,25643.06,12/15/2022,12/21/2022,Delivered
PO-2022-00076,5/22/2022,SUP026,P00245,3613,29.02,104842.47,7/16/2022,7/16/2022,Delivered
PO-2022-00077,10/12/2023,SUP126,P00200,4616,39.79,183672.85,11/15/2023,11/23/2023,Delivered
PO-2022-00078,11/2/2023,SUP142,P00416,2931,3.29,9636.11,11/18/2023,11/19/2023,Delivered
PO-2022-00079,3/4/2023,SUP044,P01005,4529,21.26,96291.82,4/22/2023,4/28/2023,Delivered
PO-2022-00080,6/11/2023,SUP147,P00321,2128,9.17,19517.36,8/5/2023,8/10/2023,Delivered
PO-2022-00081,3/24/2022,SUP034,P00322,885,17.16,15185.82,4/28/2022,5/5/2022,Delivered
PO-2022-00082,3/25/2023,SUP122,P00464,4509,44.29,199709.97,4/15/2023,4/10/2023,Delivered
PO-2022-00083,10/22/2022,SUP113,P00769,1198,9.08,10880.43,11/25/2022,11/26/2022,Delivered
PO-2022-00084,6/20/2022,SUP067,P00228,510,20.41,10407.68,8/13/2022,,Cancelled
PO-2022-00085,3/3/2022,SUP078,P01740,2086,3.06,6376.4,4/18/2022,4/26/2022,Delivered
PO-2022-00086,7/8/2022,SUP107,P00071,2410,29.95,72186.33,7/17/2022,7/21/2022,Delivered
PO-2022-00087,8/11/2023,SUP081,P01535,4297,19.19,82445.93,9/30/2023,10/3/2023,Delivered
PO-2022-00088,3/3/2022,SUP022,P01265,2557,42.83,109523.55,4/7/2022,,Shipped
PO-2022-00089,9/29/2023,SUP052,P00779,3136,45.79,143582.29,11/26/2023,,Pending
PO-2022-00090,9/16/2023,SUP088,P00032,2094,1.77,3712.28,11/6/2023,11/15/2023,Delivered
PO-2022-00091,6/25/2023,SUP055,P01274,1349,4.66,6281.07,8/9/2023,,Pending
PO-2022-00092,6/29/2022,SUP053,P00665,2893,6.73,19463.29,8/8/2022,8/4/2022,Delivered
PO-2022-00093,9/2/2022,SUP038,P01184,472,5.3,2503.35,10/22/2022,10/23/2022,Delivered
PO-2022-00094,10/9/2023,SUP118,P01605,195,22.1,4309.87,11/29/2023,,Cancelled
PO-2022-00095,6/26/2022,SUP112,P01773,4979,24.14,120202.37,7/30/2022,8/5/2022,Delivered
PO-2022-00096,5/3/2022,SUP146,P01391,1249,36.99,46204.4,6/2/2022,6/4/2022,Delivered
PO-2022-00097,2/20/2022,SUP147,P01182,155,40.03,6205.19,4/16/2022,4/25/2022,Delivered
PO-2022-00098,11/22/2022,SUP137,P01662,2976,21.12,62863.48,12/9/2022,12/10/2022,Delivered
PO-2022-00099,11/29/2022,SUP135,P01718,318,37.47,11914.12,1/8/2023,,Shipped
PO-2022-00100,5/21/2022,SUP085,P01008,1730,43.88,75916.36,7/13/2022,7/14/2022,Delivered
PO-2022-00101,9/5/2023,SUP070,P01223,4991,5.54,27642.99,10/9/2023,10/15/2023,Delivered
PO-2022-00102,5/29/2023,SUP136,P01041,414,50.79,21026.08,6/10/2023,,Shipped
PO-2022-00103,1/6/2023,SUP104,P01641,4907,40.68,199637.44,2/6/2023,2/6/2023,Delivered
PO-2022-00104,4/6/2023,SUP148,P01873,3982,15.59,62097.53,4/24/2023,5/1/2023,Delivered
PO-2022-00105,7/7/2022,SUP070,P00820,1402,30.3,42484.99,8/10/2022,8/9/2022,Delivered
PO-2022-00106,10/26/2022,SUP145,P00272,4730,6.12,28965.29,12/14/2022,12/13/2022,Delivered
PO-2022-00107,10/8/2023,SUP123,P00961,926,28.57,26453.57,10/23/2023,10/30/2023,Delivered
PO-2022-00108,4/26/2023,SUP148,P01287,2440,19.79,48295.05,5/14/2023,5/16/2023,Delivered
PO-2022-00109,9/20/2023,SUP126,P00270,3566,16.79,59887.99,10/24/2023,10/26/2023,Delivered
PO-2022-00110,10/15/2023,SUP051,P00028,3595,12.5,44927.55,11/13/2023,11/19/2023,Delivered
PO-2022-00111,11/20/2022,SUP099,P01145,2799,38.93,108978.3,12/16/2022,12/14/2022,Delivered
PO-2022-00112,3/3/2022,SUP091,P01690,4507,25.71,115883.84,4/10/2022,,Pending
PO-2022-00113,8/4/2023,SUP105,P00514,2456,30.86,75802.12,10/2/2023,10/9/2023,Delivered
PO-2022-00114,4/23/2023,SUP082,P00351,4691,46.05,215998.28,6/16/2023,6/14/2023,Delivered
PO-2022-00115,9/20/2022,SUP120,P00133,3141,2.78,8726.49,10/15/2022,,Pending
PO-2022-00116,7/14/2022,SUP054,P01072,1870,47.23,88326.31,8/31/2022,8/30/2022,Delivered
PO-2022-00117,2/10/2022,SUP024,P00371,1305,23.64,30849.74,3/29/2022,3/30/2022,Delivered
PO-2022-00118,12/14/2022,SUP024,P01773,3859,21.16,81666.29,1/30/2023,1/27/2023,Delivered
PO-2022-00119,4/9/2023,SUP056,P00583,2305,13.6,31357.43,5/2/2023,5/4/2023,Delivered
PO-2022-00120,12/22/2023,SUP023,P01306,2908,12.77,37142.27,1/30/2024,,Shipped
PO-2022-00121,10/12/2022,SUP022,P01556,4013,33.54,134614.31,11/16/2022,11/18/2022,Delivered
PO-2022-00122,6/21/2023,SUP004,P01540,1266,21.39,27081.59,7/23/2023,,Shipped
PO-2022-00123,6/9/2022,SUP083,P00611,3863,48.59,187701.93,7/14/2022,7/21/2022,Delivered
PO-2022-00124,3/16/2023,SUP133,P00940,4547,10.29,46768.96,4/14/2023,4/18/2023,Delivered
PO-2022-00125,6/14/2023,SUP100,P01816,2505,29.55,74030.84,6/24/2023,6/24/2023,Delivered
PO-2022-00126,9/4/2023,SUP001,P01579,4506,22.65,102041.22,10/14/2023,10/9/2023,Delivered
PO-2022-00127,12/9/2023,SUP118,P01364,3506,27.01,94701.03,1/29/2024,,Shipped
PO-2022-00128,2/22/2023,SUP104,P00309,4407,11.08,48827.31,3/25/2023,3/27/2023,Delivered
PO-2022-00129,9/3/2022,SUP041,P01415,619,24.44,15127.59,10/3/2022,10/10/2022,Delivered
PO-2022-00130,7/21/2022,SUP101,P00478,4703,20.89,98268.89,8/24/2022,8/27/2022,Delivered
PO-2022-00131,5/22/2022,SUP085,P00322,1817,14.59,26514.95,7/14/2022,,Cancelled
PO-2022-00132,12/22/2022,SUP023,P01845,499,12.72,6347.62,1/30/2023,2/8/2023,Delivered
PO-2022-00133,7/30/2023,SUP120,P00239,3315,22.07,73177.79,8/24/2023,,Pending
PO-2022-00134,7/16/2022,SUP135,P01605,1821,20.18,36741.83,8/25/2022,9/2/2022,Delivered
PO-2022-00135,9/6/2022,SUP075,P00855,2978,12.4,36937.31,9/23/2022,,Shipped
PO-2022-00136,8/18/2023,SUP109,P01022,533,10.84,5776.09,10/8/2023,10/17/2023,Delivered
PO-2022-00137,12/5/2022,SUP006,P00727,1702,22.99,39131.94,1/16/2023,1/15/2023,Delivered
PO-2022-00138,12/6/2023,SUP119,P01681,1344,38.17,51301.92,1/6/2024,1/12/2024,Delivered
PO-2022-00139,12/20/2022,SUP014,P00934,4434,25.1,111289.67,2/17/2023,2/17/2023,Delivered
PO-2022-00140,11/15/2022,SUP119,P00076,428,43.11,18450.65,12/16/2022,12/17/2022,Delivered
PO-2022-00141,3/13/2022,SUP138,P01667,2507,29.22,73263.23,4/29/2022,4/24/2022,Delivered
PO-2022-00142,11/9/2023,SUP109,P00291,2351,30.41,71498.93,12/30/2023,1/8/2024,Delivered
PO-2022-00143,10/5/2022,SUP018,P01549,2503,17.55,43937.78,10/31/2022,11/8/2022,Delivered
PO-2022-00144,3/8/2022,SUP098,P01747,4409,49.65,218903.98,4/2/2022,3/28/2022,Delivered
PO-2022-00145,4/25/2022,SUP021,P01444,2646,17.07,45165.63,5/7/2022,5/9/2022,Delivered
PO-2022-00146,1/24/2022,SUP030,P00945,4948,19.96,98776.76,3/14/2022,3/23/2022,Delivered
PO-2022-00147,7/22/2023,SUP105,P00658,2583,21.96,56710.42,9/19/2023,9/27/2023,Delivered
PO-2022-00148,12/9/2023,SUP035,P00010,2894,33.3,96369.66,2/2/2024,2/7/2024,Delivered
PO-2022-00149,7/15/2022,SUP081,P01639,1758,3.23,5672.42,9/3/2022,9/4/2022,Delivered
PO-2022-00150,6/10/2022,SUP021,P00770,410,11.64,4774.05,6/22/2022,6/29/2022,Delivered
PO-2022-00151,3/27/2022,SUP039,P01493,1701,4.05,6881.13,5/23/2022,5/24/2022,Delivered
PO-2022-00152,7/21/2023,SUP107,P00755,351,13.73,4820.51,7/30/2023,,Cancelled
PO-2022-00153,3/9/2022,SUP114,P01424,1702,11.09,18867.36,5/2/2022,5/6/2022,Delivered
PO-2022-00154,1/1/2022,SUP109,P01139,1002,32.19,32254.87,2/21/2022,2/17/2022,Delivered
PO-2022-00155,6/9/2022,SUP036,P01482,4780,41.23,197070.07,7/29/2022,,Shipped
PO-2022-00156,11/5/2022,SUP051,P00848,1617,1.46,2353.9,12/4/2022,12/2/2022,Delivered
PO-2022-00157,2/3/2022,SUP095,P00658,2163,19.05,41204.44,2/20/2022,,Pending
PO-2022-00158,5/6/2022,SUP008,P01496,1591,15.39,24487.13,5/30/2022,5/26/2022,Delivered
PO-2022-00159,6/25/2022,SUP074,P00914,2165,5.1,11050.28,8/10/2022,8/10/2022,Delivered
PO-2022-00160,12/26/2023,SUP068,P01624,4542,17.62,80026.32,1/29/2024,1/30/2024,Delivered
PO-2022-00161,9/13/2022,SUP093,P01691,2098,14.55,30521.97,10/30/2022,11/3/2022,Delivered
PO-2022-00162,6/19/2023,SUP140,P01309,2467,22.15,54633.72,8/6/2023,8/6/2023,Delivered
PO-2022-00163,10/13/2023,SUP126,P00930,975,44.76,43641.24,11/16/2023,11/22/2023,Delivered
PO-2022-00164,2/23/2022,SUP100,P00325,3629,44.53,161609.38,3/5/2022,3/12/2022,Delivered
PO-2022-00165,1/10/2022,SUP109,P00203,3879,25.92,100546.27,3/2/2022,3/11/2022,Delivered
PO-2022-00166,1/4/2023,SUP113,P00547,970,15.86,15383.93,2/7/2023,2/8/2023,Delivered
PO-2022-00167,5/16/2022,SUP146,P01779,1712,27.64,47317.09,6/15/2022,6/20/2022,Delivered
PO-2022-00168,5/21/2023,SUP016,P01995,2629,21.08,55416.36,6/12/2023,6/20/2023,Delivered
PO-2022-00169,10/31/2022,SUP098,P00392,3355,31.4,105330.66,11/25/2022,12/4/2022,Delivered
PO-2022-00170,5/26/2022,SUP029,P01573,2994,29.94,89629.68,6/22/2022,6/19/2022,Delivered
PO-2022-00171,4/5/2023,SUP046,P01967,3044,16.23,49411.17,5/11/2023,5/10/2023,Delivered
PO-2022-00172,4/28/2022,SUP117,P01695,235,50.28,11814.97,5/27/2022,6/3/2022,Delivered
PO-2022-00173,1/18/2022,SUP106,P01965,304,20.78,6316.76,1/28/2022,,Pending
PO-2022-00174,6/15/2022,SUP130,P00479,2311,27,62385.52,7/5/2022,7/6/2022,Delivered
PO-2022-00175,9/26/2023,SUP066,P00304,1000,37.89,37888.73,11/2/2023,11/4/2023,Delivered
PO-2022-00176,6/21/2023,SUP021,P01671,2127,46.17,98196.53,7/3/2023,7/4/2023,Delivered
PO-2022-00177,9/12/2022,SUP134,P01170,4810,35.27,169641.53,11/2/2022,11/1/2022,Delivered
PO-2022-00178,1/17/2023,SUP133,P01950,3552,29.25,103885.81,2/15/2023,,Pending
PO-2022-00179,7/2/2023,SUP094,P01142,2475,9.96,24639.39,7/24/2023,7/25/2023,Delivered
PO-2022-00180,11/2/2023,SUP032,P00443,2311,10.17,23514.24,12/22/2023,12/21/2023,Delivered
PO-2022-00181,7/14/2022,SUP096,P01881,1856,44.44,82482.84,7/28/2022,7/23/2022,Delivered
PO-2022-00182,5/24/2023,SUP060,P01166,1075,30.72,33020.58,7/4/2023,7/2/2023,Delivered
PO-2022-00183,9/23/2022,SUP029,P00788,2528,28.1,71037.38,10/20/2022,10/23/2022,Delivered
PO-2022-00184,3/12/2022,SUP097,P01560,4335,27.51,119271.61,4/14/2022,4/14/2022,Delivered
PO-2022-00185,6/12/2023,SUP032,P01440,2522,34.74,87611.3,8/1/2023,7/31/2023,Delivered
PO-2022-00186,8/20/2022,SUP008,P01658,4678,36.31,169881.2,9/13/2022,9/22/2022,Delivered
PO-2022-00187,1/16/2022,SUP076,P00053,784,46.28,36282.41,2/11/2022,2/6/2022,Delivered
PO-2022-00188,4/8/2023,SUP017,P01806,162,37.64,6097.74,4/17/2023,4/12/2023,Delivered
PO-2022-00189,4/17/2022,SUP018,P00355,2874,19.18,55126.23,5/13/2022,5/21/2022,Delivered
PO-2022-00190,12/20/2022,SUP105,P01243,533,24.43,13023.18,2/17/2023,2/26/2023,Delivered
PO-2022-00191,1/5/2022,SUP069,P00596,493,23.87,11766,2/16/2022,2/19/2022,Delivered
PO-2022-00192,11/14/2023,SUP021,P01382,4621,34.36,158775.73,11/26/2023,,Shipped
PO-2022-00193,4/8/2022,SUP130,P00664,2932,20.96,61463.71,4/28/2022,4/29/2022,Delivered
PO-2022-00194,4/2/2023,SUP011,P00149,261,17.47,4558.8,4/10/2023,,Shipped
PO-2022-00195,7/5/2022,SUP053,P01981,4641,41.06,190559.21,8/14/2022,,Shipped
PO-2022-00196,9/6/2022,SUP080,P01464,3428,28.9,99076.4,11/3/2022,10/29/2022,Delivered
PO-2022-00197,7/21/2022,SUP070,P01679,4951,10.1,50020.63,8/24/2022,8/23/2022,Delivered
PO-2022-00198,9/15/2023,SUP107,P00217,3108,49.85,154943.82,9/24/2023,9/22/2023,Delivered
PO-2022-00199,8/28/2022,SUP055,P01410,3379,16.43,55500.87,10/12/2022,10/21/2022,Delivered
PO-2022-00200,4/10/2023,SUP141,P00625,2070,42.22,87386.73,6/6/2023,6/11/2023,Delivered
PO-2022-00201,2/16/2023,SUP007,P01649,2925,20.84,60962.13,3/30/2023,,Cancelled
PO-2022-00202,8/29/2022,SUP144,P01756,4586,27.31,125250.44,10/4/2022,9/30/2022,Delivered
PO-2022-00203,5/26/2023,SUP027,P00949,1668,27.88,46497.56,7/13/2023,7/9/2023,Delivered
PO-2022-00204,5/17/2022,SUP074,P00912,4668,43.78,204388.33,7/2/2022,7/3/2022,Delivered
PO-2022-00205,6/17/2022,SUP029,P00038,1798,44.45,79925.83,7/14/2022,7/22/2022,Delivered
PO-2022-00206,4/13/2022,SUP047,P00947,3318,45.63,151395.48,5/7/2022,5/7/2022,Delivered
PO-2022-00207,5/17/2023,SUP113,P01452,4097,35.92,147160.67,6/20/2023,6/21/2023,Delivered
PO-2022-00208,5/31/2022,SUP081,P01081,434,24.4,10591.23,7/20/2022,7/23/2022,Delivered
PO-2022-00209,9/11/2022,SUP138,P01480,2406,7.42,17841.55,10/28/2022,,Cancelled
PO-2022-00210,8/26/2022,SUP111,P01565,4934,36.43,179767.76,10/17/2022,10/26/2022,Delivered
PO-2022-00211,4/27/2022,SUP148,P00403,3144,32.05,100752.33,5/15/2022,5/20/2022,Delivered
PO-2022-00212,8/21/2022,SUP031,P00480,3938,11.87,46755.94,10/14/2022,,Shipped
PO-2022-00213,8/26/2023,SUP134,P00844,3833,21.57,82696.51,10/16/2023,,Pending
PO-2022-00214,4/10/2023,SUP060,P01832,301,39.38,11854.3,5/21/2023,5/26/2023,Delivered
PO-2022-00215,3/22/2023,SUP081,P00096,4368,17.49,76385.03,5/11/2023,5/8/2023,Delivered
PO-2022-00216,10/16/2022,SUP002,P01611,4525,23.74,107442.44,11/9/2022,11/13/2022,Delivered
PO-2022-00217,5/23/2022,SUP029,P00907,739,49.38,36495.4,6/19/2022,6/20/2022,Delivered
PO-2022-00218,7/21/2022,SUP023,P01615,3265,26.21,85572.97,8/29/2022,8/30/2022,Delivered
PO-2022-00219,7/2/2023,SUP006,P01401,2259,35.73,80718.26,8/13/2023,8/9/2023,Delivered
PO-2022-00220,6/26/2023,SUP043,P01652,2373,44.03,104494.45,8/2/2023,7/31/2023,Delivered
PO-2022-00221,5/13/2023,SUP055,P00910,4425,16.06,71070.03,6/27/2023,6/30/2023,Delivered
PO-2022-00222,8/7/2023,SUP018,P00144,1374,32.23,44290.58,9/2/2023,9/5/2023,Delivered
PO-2022-00223,1/1/2023,SUP059,P00174,849,9.54,8097.04,1/20/2023,1/29/2023,Delivered
PO-2022-00224,11/12/2023,SUP105,P01398,4544,13.78,62597.79,1/10/2024,1/15/2024,Delivered
PO-2022-00225,6/9/2022,SUP011,P00168,985,26.8,26401.86,6/17/2022,,Cancelled
PO-2022-00226,4/2/2023,SUP079,P00345,653,47.38,30938.05,5/18/2023,5/20/2023,Delivered
PO-2022-00227,12/6/2023,SUP111,P00247,1052,38.74,40749.71,1/27/2024,1/28/2024,Delivered
PO-2022-00228,7/12/2022,SUP018,P00375,4872,35.24,171667.19,8/7/2022,8/7/2022,Delivered
PO-2022-00229,7/10/2023,SUP102,P00074,2585,15.15,39159.23,8/26/2023,,Cancelled
PO-2022-00230,12/14/2022,SUP066,P00525,2671,25.43,67918.31,1/20/2023,1/23/2023,Delivered
PO-2022-00231,9/23/2023,SUP064,P01206,4133,12.04,49774.42,11/20/2023,11/26/2023,Delivered
PO-2022-00232,4/30/2022,SUP070,P00072,854,48.37,41305.4,6/3/2022,6/12/2022,Delivered
PO-2022-00233,2/21/2022,SUP069,P01143,4048,25.14,101752.04,4/4/2022,4/13/2022,Delivered
PO-2022-00234,11/16/2023,SUP060,P01773,4002,24.52,98135.88,12/27/2023,12/27/2023,Delivered
PO-2022-00235,2/7/2023,SUP074,P01070,2516,40.54,102003.96,3/25/2023,3/20/2023,Delivered
PO-2022-00236,1/23/2022,SUP069,P01291,2265,11.04,25007.41,3/6/2022,3/9/2022,Delivered
PO-2022-00237,8/27/2022,SUP010,P00268,2260,24.05,54356.74,10/15/2022,10/18/2022,Delivered
PO-2022-00238,3/7/2023,SUP040,P00893,206,23.25,4790.22,4/21/2023,,Shipped
PO-2022-00239,11/5/2022,SUP089,P00622,4340,41.67,180864.97,12/19/2022,12/28/2022,Delivered
PO-2022-00240,2/3/2023,SUP021,P00124,185,25.15,4653.49,2/15/2023,,Pending
PO-2022-00241,10/3/2022,SUP041,P01739,2105,30.31,63803.32,11/2/2022,11/3/2022,Delivered
PO-2022-00242,9/24/2023,SUP024,P00714,1169,18.98,22188.31,11/10/2023,11/8/2023,Delivered
PO-2022-00243,6/24/2023,SUP094,P00803,1508,35.35,53303.4,7/16/2023,7/25/2023,Delivered
PO-2022-00244,3/26/2023,SUP077,P01207,4592,10.41,47788.69,5/14/2023,,Cancelled
PO-2022-00245,3/6/2022,SUP048,P00733,3354,23.24,77939.97,4/17/2022,4/23/2022,Delivered
PO-2022-00246,4/27/2023,SUP007,P01198,4761,21.43,102049.73,6/8/2023,6/5/2023,Delivered
PO-2022-00247,2/13/2023,SUP098,P01486,3232,27.68,89460.25,3/10/2023,3/12/2023,Delivered
PO-2022-00248,7/3/2023,SUP003,P01507,3333,24.61,82032.73,8/8/2023,8/5/2023,Delivered
PO-2022-00249,11/30/2022,SUP133,P01243,4853,25.09,121756.06,12/29/2022,12/28/2022,Delivered
PO-2022-00250,3/30/2022,SUP084,P00310,1543,20.42,31501.24,4/21/2022,4/19/2022,Delivered
PO-2022-00251,5/25/2022,SUP011,P01068,1886,39.36,74239.44,6/2/2022,6/11/2022,Delivered
PO-2022-00252,5/8/2023,SUP139,P00531,1459,25.99,37912.62,6/6/2023,6/2/2023,Delivered
PO-2022-00253,6/23/2023,SUP002,P01274,2881,5.2,14975.09,7/17/2023,7/24/2023,Delivered
