SaleID,Date,ProductID,Quantity,SellingPrice,TotalAmount,CustomerType,PaymentMethod,PrescriptionID,EmployeeID,DiscountPercentage,IsInsuranceClaim
S00115,9/11/2022,P00440,84,174.92,14693.28,Clinic,Insurance,,EMP014,6.61,Yes
S00116,5/18/2023,P01993,85,97.17,8259.45,Online,Insurance,,EMP011,0,Yes
S00117,11/16/2023,P00494,22,37.22,818.84,Wholesale,Debit Card,,EMP038,1.18,No
S00118,9/8/2023,P01009,58,105.59,6124.22,Clinic,Debit Card,,EMP008,0,No
S00119,3/17/2023,P00011,73,58.62,4279.26,Wholesale,Insurance,,EMP009,1.35,Yes
S00120,10/31/2022,P01327,63,5.76,362.88,Hospital,Debit Card,,EMP028,0,No
S00121,10/19/2022,P00786,69,149,10281,Wholesale,Debit Card,,EMP044,7.68,No
S00122,10/7/2023,P01435,88,160.46,14120.48,Clinic,Debit Card,,EMP014,0,No
S00123,7/30/2023,P00097,65,3.67,238.55,Clinic,Credit Card,,EMP021,0,No
S00124,8/10/2022,P01817,96,42.57,4086.72,Hospital,Cash,,EMP018,0,No
S00125,9/13/2022,P00859,40,55.16,2206.4,Retail,Insurance,RX-5904,EMP021,0,Yes
S00126,5/23/2022,P01179,84,28.1,2360.4,Online,Insurance,,EMP005,0,Yes
S00127,11/29/2023,P01033,77,73.84,5685.68,Wholesale,Cash,,EMP020,0,No
S00128,2/11/2022,P01735,33,21.79,719.07,Clinic,Insurance,,EMP042,0,Yes
S00129,4/19/2023,P01559,94,165.65,15571.1,Retail,Cash,RX-4230,EMP008,0,No
S00130,8/29/2022,P01177,77,102.33,7879.41,Retail,Debit Card,,EMP007,0,No
S00131,1/19/2023,P00563,55,22.27,1224.85,Retail,Insurance,RX-3800,EMP043,9.48,Yes
S00132,10/1/2022,P01027,91,212.86,19370.26,Wholesale,Credit Card,,EMP013,0,No
S00133,9/1/2022,P00279,23,173.42,3988.66,Clinic,Insurance,,EMP009,0,Yes
S00134,4/1/2022,P01793,33,215.15,7099.95,Retail,Insurance,,EMP048,0,Yes
S00135,10/30/2022,P01914,72,190.7,13730.4,Wholesale,Cash,,EMP009,0,No
S00136,12/7/2022,P01247,90,37.96,3416.4,Wholesale,Debit Card,,EMP009,15.38,No
S00137,4/19/2023,P00202,91,68.17,6203.47,Hospital,Debit Card,,EMP047,0,No
S00138,3/30/2023,P00521,74,22.6,1672.4,Hospital,Credit Card,,EMP010,0,No
S00139,9/10/2022,P00024,42,74.12,3113.04,Hospital,Credit Card,,EMP033,0,No
S00140,11/30/2023,P01028,87,174.57,15187.59,Clinic,Credit Card,,EMP007,14.03,No
S00141,4/18/2022,P01186,6,109.38,656.28,Online,Insurance,,EMP032,0,Yes
S00142,2/5/2022,P00902,13,26.47,344.11,Wholesale,Credit Card,,EMP006,0,No
S00143,7/22/2022,P01550,6,27.71,166.26,Clinic,Insurance,,EMP017,12.41,Yes
S00144,12/24/2023,P00317,91,72.22,6572.02,Online,Insurance,,EMP030,9.92,Yes
S00145,3/1/2023,P00671,55,43.03,2366.65,Retail,Insurance,RX-4107,EMP021,0,Yes
S00146,3/31/2022,P00267,16,21.87,349.92,Wholesale,Credit Card,,EMP036,0,No
S00147,11/3/2022,P01804,51,32.71,1668.21,Wholesale,Credit Card,,EMP018,11.23,No
S00148,5/13/2022,P01978,54,125.66,6785.64,Retail,Debit Card,RX-3477,EMP008,0,No
S00149,4/14/2022,P01993,23,97.17,2234.91,Retail,Credit Card,,EMP040,0,No
S00150,3/14/2023,P01830,73,87.07,6356.11,Retail,Insurance,RX-5485,EMP013,0,Yes
S00151,7/26/2022,P01939,11,3.63,39.93,Hospital,Debit Card,,EMP009,0,No
S00152,10/27/2023,P01753,98,165.8,16248.4,Retail,Insurance,RX-2842,EMP009,0,Yes
S00153,7/13/2023,P00973,97,162.65,15777.05,Retail,Debit Card,,EMP040,0,No
S00154,7/13/2023,P01254,82,16.86,1382.52,Retail,Debit Card,RX-6907,EMP044,19.21,No
S00155,9/5/2023,P00575,16,60.33,965.28,Wholesale,Credit Card,,EMP037,6.87,No
S00156,10/26/2022,P01458,20,71.77,1435.4,Online,Credit Card,,EMP037,0,No
S00157,1/30/2023,P00226,37,17.73,656.01,Wholesale,Cash,,EMP027,0,No
S00158,3/25/2022,P00047,37,61.68,2282.16,Wholesale,Credit Card,,EMP023,14.45,No
S00159,8/22/2022,P01285,90,247.83,22304.7,Clinic,Cash,,EMP037,0,No
S00160,9/19/2022,P00173,21,6.26,131.46,Wholesale,Insurance,,EMP009,0,Yes
S00161,4/9/2023,P00414,31,113.92,3531.52,Wholesale,Insurance,,EMP003,0,Yes
S00162,7/12/2023,P00813,9,213.86,1924.74,Wholesale,Debit Card,,EMP021,0,No
S00163,8/2/2022,P00316,26,148.99,3873.74,Retail,Credit Card,,EMP010,0,No
S00164,3/3/2022,P00996,30,32.8,984,Wholesale,Debit Card,,EMP031,0,No
S00165,5/14/2022,P00068,44,26.69,1174.36,Online,Debit Card,,EMP013,6.64,No
S00166,1/28/2022,P00005,88,20.55,1808.4,Hospital,Cash,,EMP007,0,No
S00167,10/22/2022,P00341,27,66.55,1796.85,Hospital,Cash,,EMP013,18.18,No
S00168,6/20/2022,P00455,82,132.81,10890.42,Wholesale,Cash,,EMP033,0,No
S00169,10/11/2023,P00879,17,38.55,655.35,Clinic,Credit Card,,EMP042,9.5,No
S00170,1/30/2023,P00662,1,129.76,129.76,Online,Insurance,,EMP002,0,Yes
S00171,1/30/2023,P01647,16,74.85,1197.6,Clinic,Insurance,,EMP017,0,Yes
S00172,7/29/2023,P00914,42,14.96,628.32,Wholesale,Credit Card,,EMP032,0,No
S00173,11/4/2022,P00786,35,149,5215,Clinic,Cash,,EMP036,0,No
S00174,1/8/2023,P00067,84,56.75,4767,Wholesale,Debit Card,,EMP019,0,No
S00175,1/18/2022,P00811,71,72.78,5167.38,Retail,Credit Card,,EMP021,0,No
S00176,11/2/2022,P00645,71,221.7,15740.7,Wholesale,Credit Card,,EMP010,0,No
S00177,7/10/2023,P01167,66,129.78,8565.48,Clinic,Insurance,,EMP013,0,Yes
S00178,1/19/2023,P00713,97,63.16,6126.52,Clinic,Debit Card,,EMP001,0,No
S00179,8/19/2022,P01796,80,60.84,4867.2,Wholesale,Debit Card,,EMP003,0,No
S00180,2/26/2022,P00148,54,100.11,5405.94,Retail,Insurance,RX-4105,EMP018,0.36,Yes
S00181,9/29/2022,P01145,27,201.2,5432.4,Wholesale,Credit Card,,EMP017,0,No
S00182,9/10/2022,P00909,35,89.53,3133.55,Wholesale,Credit Card,,EMP036,0,No
S00183,6/8/2023,P01871,16,13.9,222.4,Online,Cash,,EMP037,4.19,No
S00184,9/24/2022,P00575,84,60.33,5067.72,Online,Insurance,,EMP043,0,Yes
S00185,7/19/2023,P00005,74,20.55,1520.7,Online,Debit Card,,EMP041,0,No
S00186,7/31/2023,P00878,21,102.66,2155.86,Online,Cash,,EMP038,0,No
S00187,8/10/2023,P01040,97,39.14,3796.58,Clinic,Insurance,,EMP014,0,Yes
S00188,2/18/2023,P00238,82,69.43,5693.26,Clinic,Cash,,EMP017,15.59,No
S00189,6/17/2023,P01801,37,106.78,3950.86,Wholesale,Cash,,EMP049,2.29,No
S00190,9/6/2023,P01723,98,102.92,10086.16,Wholesale,Cash,,EMP031,0,No
S00191,7/21/2023,P00370,6,25.19,151.14,Online,Cash,,EMP021,0,No
S00192,3/28/2023,P01145,38,201.2,7645.6,Wholesale,Debit Card,,EMP035,0,No
S00193,1/3/2023,P00451,46,110.37,5077.02,Hospital,Credit Card,,EMP018,0,No
S00194,8/12/2022,P01602,88,35.79,3149.52,Retail,Debit Card,RX-4876,EMP004,0,No
S00195,11/17/2023,P00502,56,28.23,1580.88,Retail,Debit Card,RX-1071,EMP015,0,No
S00196,1/4/2023,P01686,35,7.97,278.95,Clinic,Insurance,,EMP034,0.68,Yes
S00197,4/13/2023,P00869,91,136.48,12419.68,Wholesale,Credit Card,,EMP009,0,No
S00198,7/17/2022,P00293,61,81.18,4951.98,Retail,Debit Card,RX-8892,EMP041,15.78,No
S00199,7/1/2023,P00152,20,128.17,2563.4,Wholesale,Credit Card,,EMP040,0,No
S00200,12/4/2023,P01844,98,74.6,7310.8,Retail,Cash,,EMP001,0,No
S00201,2/27/2022,P00044,30,105.96,3178.8,Online,Debit Card,,EMP017,0,No
S00202,4/18/2022,P00526,20,97.95,1959,Hospital,Debit Card,,EMP015,0,No
S00203,7/1/2022,P00717,49,151.85,7440.65,Clinic,Debit Card,,EMP019,11.04,No
S00204,6/26/2022,P01554,19,3.9,74.1,Online,Credit Card,,EMP046,0,No
S00205,6/9/2023,P01001,28,131.55,3683.4,Hospital,Debit Card,,EMP001,0,No
S00206,10/30/2023,P01993,55,97.17,5344.35,Clinic,Insurance,,EMP001,0,Yes
S00207,12/9/2023,P00734,27,85.58,2310.66,Clinic,Debit Card,,EMP025,2.4,No
S00208,4/25/2022,P01135,63,9.94,626.22,Retail,Cash,RX-9354,EMP047,0,No
S00209,12/26/2022,P00679,78,181.72,14174.16,Wholesale,Cash,,EMP014,0,No
S00210,6/19/2023,P01949,71,75.33,5348.43,Retail,Credit Card,RX-6299,EMP023,0,No
S00211,4/18/2022,P00792,85,60.33,5128.05,Wholesale,Credit Card,,EMP013,0,No
S00212,9/9/2023,P00437,22,94.25,2073.5,Wholesale,Insurance,,EMP034,0,Yes
S00213,8/13/2022,P00334,99,86.86,8599.14,Clinic,Insurance,,EMP029,0,Yes
S00214,3/21/2023,P01270,4,28.65,114.6,Hospital,Cash,,EMP039,0,No
S00215,12/9/2022,P00769,37,47.7,1764.9,Clinic,Debit Card,,EMP042,0,No
S00216,4/18/2023,P00835,85,65.1,5533.5,Hospital,Credit Card,,EMP042,0,No
S00217,4/16/2022,P00118,62,91.68,5684.16,Clinic,Cash,,EMP024,0,No
S00218,7/31/2022,P00478,41,90.24,3699.84,Hospital,Cash,,EMP044,0,No
S00219,1/17/2022,P00890,58,12.27,711.66,Hospital,Debit Card,,EMP029,0,No
S00220,11/30/2022,P00120,21,44.48,934.08,Clinic,Credit Card,,EMP006,9.81,No
S00221,8/2/2023,P01567,8,31.37,250.96,Hospital,Credit Card,,EMP028,19.98,No
S00222,9/17/2022,P01505,13,109.43,1422.59,Clinic,Cash,,EMP004,0,No
S00223,5/16/2023,P00339,24,2.57,61.68,Hospital,Debit Card,,EMP023,0,No
S00224,7/2/2022,P00265,14,80.01,1120.14,Clinic,Insurance,,EMP031,0,Yes
S00225,9/1/2022,P01290,30,69.67,2090.1,Retail,Insurance,RX-4437,EMP045,0,Yes
S00226,2/16/2023,P01377,43,62.35,2681.05,Wholesale,Credit Card,,EMP039,0,No
S00227,1/31/2022,P00800,6,113.61,681.66,Retail,Debit Card,RX-5746,EMP048,0,No
S00228,1/5/2023,P00049,55,20.85,1146.75,Retail,Credit Card,,EMP032,0,No
S00229,5/17/2023,P01628,43,18.06,776.58,Clinic,Cash,,EMP031,0,No
S00230,1/19/2022,P01198,7,89.35,625.45,Wholesale,Credit Card,,EMP036,0,No
S00231,4/15/2022,P00321,68,36.45,2478.6,Online,Debit Card,,EMP012,0,No
S00232,8/13/2022,P00716,56,107.33,6010.48,Wholesale,Credit Card,,EMP015,0,No
S00233,1/20/2023,P00629,84,117.24,9848.16,Wholesale,Credit Card,,EMP033,12.67,No
S00234,3/15/2022,P01348,42,18.24,766.08,Online,Insurance,,EMP016,6.29,Yes
S00235,4/12/2023,P01675,55,78.72,4329.6,Clinic,Insurance,,EMP018,0,Yes
S00236,1/15/2022,P01783,58,128.03,7425.74,Hospital,Insurance,,EMP029,0,Yes
S00237,7/4/2023,P00123,36,70.2,2527.2,Wholesale,Debit Card,,EMP032,0,No
S00238,9/6/2022,P01241,26,65.5,1703,Online,Debit Card,,EMP031,0,No
S00239,11/19/2023,P01845,18,41.18,741.24,Retail,Debit Card,RX-2141,EMP017,0,No
S00240,4/14/2023,P01520,15,10.44,156.6,Wholesale,Credit Card,,EMP024,0,No
S00241,12/12/2023,P01409,73,38.54,2813.42,Retail,Cash,RX-4902,EMP031,5,No
S00242,3/28/2023,P01574,18,119.21,2145.78,Online,Credit Card,,EMP018,0,No
S00243,9/23/2023,P01722,95,151.35,14378.25,Online,Insurance,,EMP027,2.37,Yes
S00244,11/2/2023,P00740,92,8.99,827.08,Wholesale,Cash,,EMP003,0,No
S00245,10/29/2022,P00635,9,83.53,751.77,Clinic,Cash,,EMP044,0,No
S00246,2/28/2022,P00003,66,56.87,3753.42,Online,Credit Card,,EMP006,0,No
S00247,6/14/2022,P00175,37,69.34,2565.58,Clinic,Insurance,,EMP025,0,Yes
S00248,8/30/2022,P01788,11,14.15,155.65,Clinic,Insurance,,EMP008,3.42,Yes
S00249,9/17/2022,P00644,7,22.98,160.86,Retail,Debit Card,,EMP020,0,No
S00250,1/21/2023,P00836,60,15.91,954.6,Clinic,Cash,,EMP040,0,No
S00251,9/10/2023,P01614,33,27.6,910.8,Clinic,Insurance,,EMP022,0,Yes
S00252,2/10/2022,P01658,66,162.03,10693.98,Retail,Credit Card,RX-1663,EMP041,16.14,No
S00253,2/9/2023,P00797,67,106.56,7139.52,Wholesale,Insurance,,EMP012,10.62,Yes
S00254,11/28/2022,P01652,34,119.86,4075.24,Online,Credit Card,,EMP022,4.61,No
S00255,3/14/2023,P01529,75,106.15,7961.25,Clinic,Insurance,,EMP025,0,Yes
S00256,5/9/2022,P01923,17,116.05,1972.85,Wholesale,Cash,,EMP031,0,No
S00257,6/3/2023,P01565,99,161.78,16016.22,Online,Insurance,,EMP005,8.95,Yes
S00258,4/18/2023,P01164,48,131.57,6315.36,Clinic,Debit Card,,EMP032,0,No
S00259,1/16/2022,P00731,47,100.39,4718.33,Wholesale,Debit Card,,EMP031,0,No
S00260,8/17/2022,P01016,78,111.06,8662.68,Wholesale,Insurance,,EMP003,0,Yes
S00261,1/21/2023,P01055,53,171.1,9068.3,Hospital,Insurance,,EMP014,18.71,Yes
S00262,6/16/2023,P01683,47,54.26,2550.22,Clinic,Credit Card,,EMP046,8.14,No
S00263,11/28/2022,P00125,74,51.68,3824.32,Clinic,Credit Card,,EMP002,0,No
S00264,8/15/2023,P01072,79,134.15,10597.85,Wholesale,Insurance,,EMP012,0,Yes
S00265,7/22/2023,P01593,72,42.3,3045.6,Retail,Cash,,EMP032,1.14,No
S00266,1/19/2023,P00485,28,38.73,1084.44,Clinic,Debit Card,,EMP033,0,No
S00267,10/22/2022,P01157,95,88.59,8416.05,Wholesale,Insurance,,EMP026,5.61,Yes
S00268,3/13/2022,P00107,67,48.96,3280.32,Wholesale,Credit Card,,EMP006,0,No
S00269,2/9/2022,P01775,63,4.24,267.12,Wholesale,Cash,,EMP016,15.29,No
S00270,4/27/2023,P01972,83,76.2,6324.6,Wholesale,Credit Card,,EMP038,2.59,No
S00271,7/7/2022,P01416,47,59.15,2780.05,Clinic,Insurance,,EMP019,1,Yes
S00272,2/10/2023,P00449,69,40.53,2796.57,Online,Insurance,,EMP005,19.67,Yes
S00273,8/31/2022,P01478,21,210.18,4413.78,Retail,Cash,RX-3538,EMP020,0,No
S00274,5/8/2022,P01301,20,72.01,1440.2,Retail,Cash,RX-7997,EMP043,0,No
S00275,10/23/2022,P00090,14,11.29,158.06,Clinic,Insurance,,EMP004,0,Yes
S00276,3/1/2022,P00924,48,42.32,2031.36,Clinic,Insurance,,EMP038,0,Yes
S00277,7/22/2022,P00139,42,121.57,5105.94,Retail,Insurance,RX-5373,EMP049,0,Yes
S00278,1/30/2022,P01926,12,15.36,184.32,Clinic,Debit Card,,EMP018,0,No
S00279,4/4/2022,P00940,58,51.09,2963.22,Clinic,Debit Card,,EMP038,18.24,No
S00280,7/18/2022,P00988,75,101.07,7580.25,Online,Credit Card,,EMP020,0,No
S00281,12/1/2023,P01427,48,46.36,2225.28,Clinic,Debit Card,,EMP023,0,No
S00282,3/2/2022,P01912,59,38.66,2280.94,Online,Insurance,,EMP033,0,Yes
S00283,4/7/2022,P00831,42,14.26,598.92,Online,Credit Card,,EMP035,11.67,No
S00284,9/18/2022,P01294,27,117.76,3179.52,Wholesale,Insurance,,EMP044,1.76,Yes
S00285,9/12/2022,P01304,76,34.84,2647.84,Online,Debit Card,,EMP039,0,No
S00286,11/24/2023,P00588,59,42.82,2526.38,Hospital,Debit Card,,EMP046,0,No
S00287,8/13/2023,P00502,99,28.23,2794.77,Hospital,Debit Card,,EMP032,7.54,No
S00288,12/7/2023,P01552,23,124.04,2852.92,Hospital,Debit Card,,EMP031,0.81,No
S00289,3/31/2022,P01819,34,22.43,762.62,Online,Insurance,,EMP031,10.32,Yes
S00290,9/25/2023,P00638,63,24.83,1564.29,Online,Insurance,,EMP048,0,Yes
S00291,12/10/2023,P00458,31,121.5,3766.5,Retail,Credit Card,,EMP001,0,No
S00292,4/4/2023,P01232,4,15.73,62.92,Clinic,Insurance,,EMP015,3.46,Yes
