ProductID,ProductName,Category,Formulation,UnitCost,SellingPrice,MinStockLevel,MaxStockLevel,ReorderPoint,Manufacturer,LastPriceUpdate
P00028,Ophthalmic_Drug_346_112mg,Ophthalmic,Suppository,12.85,29.29,109,1380,163,AbbVie,3/29/2023
P00029,Antipsychotic_Drug_9_233mg,Antipsychotic,Suppository,36.57,171.56,148,2182,222,AstraZeneca,2/23/2022
P00030,Oncology_Drug_920_116mg,Oncology,Tablet,8.92,41.89,124,2148,186,Purdue,9/11/2022
P00031,Diabetes_Drug_510_473mg,Diabetes,Suppository,1.25,3.1,148,2700,222,GSK,12/7/2023
P00032,Antidepressant_Drug_720_445mg,Antidepressant,Injection,1.89,6.58,218,660,327,Purdue,5/19/2023
P00033,Oncology_Drug_195_401mg,Oncology,Inhaler,25.93,101.36,177,959,265,Merck,11/1/2023
P00034,Antidepressant_Drug_365_51mg,Antidepressant,Ointment,31.93,139.99,487,2299,730,Pfizer,10/11/2022
P00035,Hormone_Drug_481_453mg,Hormone,Suppository,14.76,30.6,366,1315,549,Pfizer,5/27/2023
P00036,Cardiovascular_Drug_220_158mg,Cardiovascular,Syrup,37.64,182.9,95,2646,142,Bristol-Myers Squibb,5/12/2023
P00037,Vaccine_Drug_607_99mg,Vaccine,Cream,4.69,13.68,237,1492,355,Johnson & Johnson,6/10/2022
P00038,Diabetes_Drug_18_281mg,Diabetes,Suppository,46.57,102.98,272,1069,408,GSK,10/15/2022
P00039,Hormone_Drug_663_450mg,Hormone,Ointment,15.47,45.91,176,654,264,AstraZeneca,1/28/2023
P00040,Dermatological_Drug_176_39mg,Dermatological,Ointment,40.7,187.27,219,1037,328,Bristol-Myers Squibb,5/21/2023
P00041,Antiviral_Drug_36_173mg,Antiviral,Tablet,4.48,14.29,69,2868,103,AbbVie,4/16/2023
P00042,Hormone_Drug_354_322mg,Hormone,Syrup,2.76,9.38,337,2482,505,Bristol-Myers Squibb,5/30/2022
P00043,Respiratory_Drug_342_305mg,Respiratory,Capsule,41.31,127.26,229,1181,343,AbbVie,9/5/2023
P00044,Cardiovascular_Drug_53_60mg,Cardiovascular,Suppository,23.41,105.96,157,504,235,Purdue,12/16/2022
P00045,Hormone_Drug_823_424mg,Hormone,Injection,48.51,201.02,357,768,535,Novo Nordisk,10/19/2023
P00046,Oncology_Drug_787_92mg,Oncology,Inhaler,13.29,33.93,107,2474,160,Johnson & Johnson,5/7/2022
P00047,Gastrointestinal_Drug_641_58mg,Gastrointestinal,Syrup,22.68,61.68,171,1012,256,Merck,7/14/2023
P00048,Gastrointestinal_Drug_237_373mg,Gastrointestinal,Suppository,37.16,136.12,434,1712,651,Merck,9/4/2022
P00049,Diabetes_Drug_154_144mg,Diabetes,Syrup,6.89,20.85,484,1496,726,AbbVie,3/10/2022
P00050,Hormone_Drug_94_238mg,Hormone,Tablet,24.23,55.57,495,952,742,Roche,7/5/2023
P00051,Analgesic_Drug_254_222mg,Analgesic,Tablet,3.35,16.24,406,2570,609,Purdue,6/29/2022
P00052,Hormone_Drug_762_147mg,Hormone,Capsule,42.97,170.85,491,2131,736,Purdue,1/16/2022
P00053,Oncology_Drug_759_258mg,Oncology,Suppository,47.07,175.4,433,2707,649,GSK,11/6/2023
P00054,Ophthalmic_Drug_929_445mg,Ophthalmic,Tablet,31.67,141.29,228,2136,342,AstraZeneca,2/12/2022
P00055,Ophthalmic_Drug_397_12mg,Ophthalmic,Cream,34.47,76.3,144,1253,216,AstraZeneca,8/28/2023
P00056,Respiratory_Drug_602_418mg,Respiratory,Capsule,25.31,103.23,164,1116,246,GSK,5/8/2023
P00057,Dermatological_Drug_376_420mg,Dermatological,Cream,9.69,41.2,266,1175,399,Novo Nordisk,11/20/2023
P00058,Diabetes_Drug_548_466mg,Diabetes,Suppository,43.49,160.29,145,2187,217,AbbVie,1/4/2023
P00059,Antiviral_Drug_279_217mg,Antiviral,Cream,19.51,70.29,404,1372,606,Purdue,12/30/2023
P00060,Antidepressant_Drug_699_19mg,Antidepressant,Cream,1.53,7.22,226,2135,339,AbbVie,9/22/2022
P00061,Antiviral_Drug_718_223mg,Antiviral,Syrup,25.16,56.61,433,1350,649,Roche,4/9/2022
P00062,Ophthalmic_Drug_948_379mg,Ophthalmic,Tablet,39.69,90.24,102,1667,153,Sanofi,7/5/2022
P00063,Antiviral_Drug_223_122mg,Antiviral,Ointment,27.75,114.26,182,1738,273,AbbVie,1/9/2022
P00064,Respiratory_Drug_492_401mg,Respiratory,Capsule,21.88,58.37,302,2042,453,Bayer,9/26/2023
P00065,Antibiotic_Drug_29_165mg,Antibiotic,Cream,29.48,135.3,471,2886,706,Merck,5/15/2023
P00066,Cardiovascular_Drug_327_217mg,Cardiovascular,Inhaler,18.16,74.9,350,1655,525,Novo Nordisk,3/21/2023
P00067,Ophthalmic_Drug_167_91mg,Ophthalmic,Ointment,17.18,56.75,251,2381,376,Bristol-Myers Squibb,10/15/2023
P00068,Antibiotic_Drug_638_58mg,Antibiotic,Syrup,6.76,26.69,197,955,295,Pfizer,1/22/2023
P00069,Vitamin_Drug_190_191mg,Vitamin,Syrup,26.89,88.98,418,1323,627,Sanofi,7/10/2023
P00070,Vitamin_Drug_173_317mg,Vitamin,Suppository,3.13,14.94,352,1672,528,AbbVie,8/17/2022
P00071,Analgesic_Drug_659_20mg,Analgesic,Injection,31.84,130.14,490,2594,735,Pfizer,1/8/2023
P00072,Antidepressant_Drug_259_144mg,Antidepressant,Ointment,47.98,104.29,490,1535,735,Merck,2/12/2023
P00073,Ophthalmic_Drug_8_122mg,Ophthalmic,Cream,20.03,53.84,397,589,595,AbbVie,2/10/2022
P00074,Analgesic_Drug_923_447mg,Analgesic,Suppository,16.17,71.82,194,1724,291,AbbVie,7/12/2023
P00075,Diabetes_Drug_390_82mg,Diabetes,Cream,29.48,140.25,420,755,630,Sanofi,8/30/2022
P00076,Dermatological_Drug_5_119mg,Dermatological,Cream,40.72,202.05,338,873,507,Pfizer,10/9/2022
P00077,Hormone_Drug_854_315mg,Hormone,Tablet,42.08,143.33,332,1188,498,Novo Nordisk,5/26/2023
P00078,Cardiovascular_Drug_823_6mg,Cardiovascular,Cream,49.84,182.73,246,2168,369,Roche,7/19/2023
P00079,Antipsychotic_Drug_458_83mg,Antipsychotic,Capsule,13.32,37.62,194,2401,291,Purdue,3/22/2023
P00080,Cardiovascular_Drug_488_288mg,Cardiovascular,Tablet,6.56,26.34,83,2642,124,GSK,3/14/2023
P00081,Antidepressant_Drug_891_306mg,Antidepressant,Injection,28.04,103.27,317,2484,475,Novartis,2/5/2023
P00082,Hormone_Drug_919_207mg,Hormone,Inhaler,40.45,190.5,278,1077,417,AbbVie,11/2/2022
P00083,Antibiotic_Drug_798_335mg,Antibiotic,Capsule,45.3,137.93,396,2982,594,Merck,4/26/2023
P00084,Oncology_Drug_542_247mg,Oncology,Inhaler,47.53,116.03,155,2628,232,AstraZeneca,2/5/2023
P00085,Respiratory_Drug_508_340mg,Respiratory,Tablet,18.02,47.35,118,2600,177,Novartis,4/21/2022
P00086,Gastrointestinal_Drug_183_336mg,Gastrointestinal,Inhaler,7.8,30.6,144,2494,216,AstraZeneca,11/27/2023
P00087,Gastrointestinal_Drug_864_195mg,Gastrointestinal,Injection,48.68,185.27,204,592,306,Novo Nordisk,2/7/2023
P00088,Antipsychotic_Drug_466_92mg,Antipsychotic,Cream,27.89,100.5,219,1928,328,AbbVie,12/12/2022
P00089,Vaccine_Drug_945_78mg,Vaccine,Capsule,16.76,38.16,267,2336,400,Bayer,8/2/2022
P00090,Hormone_Drug_350_107mg,Hormone,Suppository,3.99,11.29,368,547,552,Pfizer,1/8/2022
P00091,Cardiovascular_Drug_253_180mg,Cardiovascular,Injection,19.15,66.14,256,802,384,Sanofi,1/28/2022
P00092,Antiviral_Drug_216_386mg,Antiviral,Ointment,8.24,19.77,414,1025,621,Novo Nordisk,9/15/2023
P00093,Antiviral_Drug_363_239mg,Antiviral,Ointment,12.88,36.16,323,2406,484,Roche,1/28/2022
P00094,Respiratory_Drug_953_273mg,Respiratory,Inhaler,17.05,40.23,280,2633,420,Pfizer,6/9/2023
P00095,Analgesic_Drug_580_394mg,Analgesic,Tablet,25.42,57.47,116,732,174,Merck,2/3/2022
P00096,Hormone_Drug_936_369mg,Hormone,Suppository,17.53,82.37,285,2972,427,GSK,3/19/2023
P00097,Oncology_Drug_877_454mg,Oncology,Injection,1.37,3.67,278,1812,417,Merck,5/18/2023
P00098,Analgesic_Drug_843_446mg,Analgesic,Ointment,9.5,44.56,367,2897,550,Johnson & Johnson,8/31/2022
P00099,Hormone_Drug_229_36mg,Hormone,Suppository,44.93,167.5,457,1746,685,Novartis,1/4/2022
P00100,Hormone_Drug_118_369mg,Hormone,Ointment,33.76,161.65,143,2521,214,Novartis,1/27/2023
P00101,Respiratory_Drug_173_300mg,Respiratory,Injection,48.43,200.15,182,2873,273,Purdue,8/13/2022
P00102,Analgesic_Drug_140_47mg,Analgesic,Tablet,38.62,87.35,50,2637,75,Novartis,5/26/2023
P00103,Analgesic_Drug_259_161mg,Analgesic,Cream,23.26,84.8,439,1189,658,Sanofi,6/21/2022
P00104,Antibiotic_Drug_168_130mg,Antibiotic,Cream,7.8,15.66,133,820,199,Bayer,7/4/2023
P00105,Antiviral_Drug_606_95mg,Antiviral,Injection,41.7,204.12,354,2104,531,Roche,1/11/2023
P00106,Dermatological_Drug_930_76mg,Dermatological,Tablet,36.36,77.97,84,1819,126,Bristol-Myers Squibb,8/17/2022
P00107,Vaccine_Drug_798_291mg,Vaccine,Syrup,12.55,48.96,262,2552,393,Purdue,8/24/2023
P00108,Vitamin_Drug_89_402mg,Vitamin,Capsule,22.52,70.51,345,2363,517,Novo Nordisk,9/29/2023
P00109,Antidepressant_Drug_23_63mg,Antidepressant,Tablet,12.38,58.17,192,1492,288,Johnson & Johnson,9/8/2023
P00110,Oncology_Drug_39_435mg,Oncology,Injection,17.31,72.56,247,2169,370,Sanofi,3/24/2023
P00111,Analgesic_Drug_623_157mg,Analgesic,Inhaler,37.33,138.85,338,2535,507,Bristol-Myers Squibb,7/4/2023
P00112,Gastrointestinal_Drug_997_411mg,Gastrointestinal,Tablet,2.64,9.79,488,2836,732,Sanofi,6/1/2023
P00113,Dermatological_Drug_865_118mg,Dermatological,Capsule,6.42,29.14,343,2432,514,AstraZeneca,11/27/2023
P00114,Hormone_Drug_648_261mg,Hormone,Cream,21.04,90.8,206,2594,309,Novartis,4/5/2022
P00115,Diabetes_Drug_932_292mg,Diabetes,Injection,30.35,135.98,331,2334,496,Sanofi,7/4/2023
P00116,Antidepressant_Drug_23_303mg,Antidepressant,Suppository,31.13,147.42,395,2849,592,AstraZeneca,7/29/2022
P00117,Gastrointestinal_Drug_623_104mg,Gastrointestinal,Tablet,46.02,201.12,365,855,547,Roche,5/7/2022
P00118,Respiratory_Drug_604_287mg,Respiratory,Tablet,21.78,91.68,427,2428,640,AstraZeneca,10/24/2022
P00119,Antidepressant_Drug_407_257mg,Antidepressant,Injection,49.26,222.49,351,2136,526,Merck,1/1/2022
P00120,Hormone_Drug_567_371mg,Hormone,Ointment,20.55,44.48,473,2434,709,Bayer,7/21/2022
P00121,Analgesic_Drug_117_154mg,Analgesic,Tablet,21.31,97.82,474,1074,711,Merck,1/21/2023
P00122,Antiviral_Drug_475_418mg,Antiviral,Capsule,2.61,12.37,396,1438,594,Merck,10/26/2023
P00123,Gastrointestinal_Drug_180_198mg,Gastrointestinal,Inhaler,18.76,70.2,393,1684,589,Merck,10/28/2023
P00124,Ophthalmic_Drug_469_49mg,Ophthalmic,Capsule,23.49,86.25,386,1607,579,Merck,4/21/2023
P00125,Hormone_Drug_360_49mg,Hormone,Cream,16.19,51.68,376,2292,564,Novo Nordisk,12/24/2023
P00126,Vaccine_Drug_670_285mg,Vaccine,Suppository,19.51,87.98,354,928,531,Novo Nordisk,1/18/2022
P00127,Cardiovascular_Drug_371_175mg,Cardiovascular,Ointment,24.57,85.77,243,1487,364,Novo Nordisk,10/6/2023
P00128,Cardiovascular_Drug_925_55mg,Cardiovascular,Suppository,14.34,67.29,408,1299,612,GSK,1/15/2023
P00129,Cardiovascular_Drug_55_476mg,Cardiovascular,Inhaler,43.48,140.18,337,1701,505,Bayer,3/19/2023
P00130,Hormone_Drug_328_54mg,Hormone,Cream,5.87,16.02,298,1787,447,AstraZeneca,5/6/2023
P00131,Analgesic_Drug_165_182mg,Analgesic,Syrup,44.92,91.59,447,1322,670,Johnson & Johnson,11/4/2023
P00132,Antiviral_Drug_147_112mg,Antiviral,Cream,29.57,96.52,430,1414,645,GSK,12/10/2023
P00133,Analgesic_Drug_746_386mg,Analgesic,Injection,2.68,12.04,244,970,366,Roche,9/13/2022
P00134,Vaccine_Drug_226_53mg,Vaccine,Tablet,47.47,203.69,477,2390,715,AstraZeneca,8/16/2023
P00135,Respiratory_Drug_632_59mg,Respiratory,Ointment,9.92,34.27,264,627,396,Pfizer,6/10/2023
P00136,Gastrointestinal_Drug_962_237mg,Gastrointestinal,Suppository,32.61,106.48,330,2281,495,Sanofi,3/18/2023
P00137,Vitamin_Drug_610_215mg,Vitamin,Cream,41.31,148.26,342,574,513,Sanofi,12/22/2022
P00138,Gastrointestinal_Drug_34_17mg,Gastrointestinal,Ointment,36.29,84.18,214,1901,321,Merck,1/27/2022
P00139,Gastrointestinal_Drug_646_219mg,Gastrointestinal,Inhaler,30.43,121.57,217,1109,325,Johnson & Johnson,11/16/2023
P00140,Cardiovascular_Drug_981_476mg,Cardiovascular,Capsule,18.34,89.42,239,2099,358,Pfizer,11/24/2023
P00141,Analgesic_Drug_794_29mg,Analgesic,Injection,22.42,106.42,198,1819,297,Novartis,8/15/2022
P00142,Antidepressant_Drug_55_111mg,Antidepressant,Capsule,7.62,26.3,201,1257,301,Sanofi,7/2/2023
P00143,Hormone_Drug_467_227mg,Hormone,Syrup,8.58,33.2,293,864,439,GSK,5/16/2023
P00144,Gastrointestinal_Drug_296_17mg,Gastrointestinal,Tablet,35.54,134.87,178,1740,267,Bayer,2/8/2022
P00145,Diabetes_Drug_498_229mg,Diabetes,Injection,48.42,97.6,157,671,235,AbbVie,10/2/2022
P00146,Antipsychotic_Drug_955_305mg,Antipsychotic,Syrup,47.56,158.76,494,1540,741,AbbVie,11/14/2022
P00147,Oncology_Drug_776_479mg,Oncology,Injection,36.48,142.7,198,2250,297,AstraZeneca,6/21/2023
P00148,Antibiotic_Drug_268_143mg,Antibiotic,Tablet,47.26,100.11,108,988,162,Sanofi,1/16/2022
P00149,Antiviral_Drug_919_282mg,Antiviral,Tablet,16.33,38.56,135,749,202,Johnson & Johnson,5/17/2022
P00150,Diabetes_Drug_840_498mg,Diabetes,Suppository,39.97,169.28,364,1226,546,Purdue,2/6/2023
P00151,Dermatological_Drug_615_273mg,Dermatological,Capsule,18.87,69.48,63,1682,94,Bristol-Myers Squibb,4/8/2022
P00152,Diabetes_Drug_171_424mg,Diabetes,Cream,29.05,128.17,232,863,348,Purdue,12/15/2022
P00153,Antidepressant_Drug_397_210mg,Antidepressant,Tablet,21.91,101.44,210,515,315,GSK,11/7/2022
P00154,Diabetes_Drug_546_414mg,Diabetes,Capsule,10.09,31.8,300,1258,450,Novo Nordisk,2/8/2022
P00155,Vaccine_Drug_29_446mg,Vaccine,Syrup,24.51,91.72,367,744,550,AbbVie,8/27/2022
P00156,Gastrointestinal_Drug_926_409mg,Gastrointestinal,Capsule,37.14,100.88,408,839,612,Novo Nordisk,3/5/2023
P00157,Vaccine_Drug_670_498mg,Vaccine,Suppository,12.45,26.47,373,645,559,Pfizer,8/8/2023
P00158,Hormone_Drug_889_344mg,Hormone,Tablet,47.55,207.27,189,2734,283,Novartis,1/15/2023
P00159,Antidepressant_Drug_440_319mg,Antidepressant,Inhaler,45.28,224.93,351,510,526,Johnson & Johnson,7/18/2023
P00160,Analgesic_Drug_584_148mg,Analgesic,Injection,30.78,108.9,398,1833,597,Sanofi,4/17/2022
P00161,Antibiotic_Drug_218_425mg,Antibiotic,Tablet,41.48,182.61,290,2806,435,Merck,2/16/2022
P00162,Antiviral_Drug_521_99mg,Antiviral,Tablet,26.73,74.33,69,2413,103,Novo Nordisk,11/21/2023
P00163,Antibiotic_Drug_145_216mg,Antibiotic,Ointment,23.71,91.73,52,659,78,Bristol-Myers Squibb,3/30/2022
P00164,Gastrointestinal_Drug_910_357mg,Gastrointestinal,Syrup,44,123.06,147,1790,220,AbbVie,6/25/2023
P00165,Gastrointestinal_Drug_921_226mg,Gastrointestinal,Injection,40.67,161.29,381,669,571,Roche,1/30/2023
P00166,Dermatological_Drug_984_124mg,Dermatological,Capsule,35.09,75.32,87,2875,130,GSK,3/30/2023
P00167,Antipsychotic_Drug_688_461mg,Antipsychotic,Syrup,42.71,148.86,333,1472,499,Bristol-Myers Squibb,4/25/2022
P00168,Respiratory_Drug_568_40mg,Respiratory,Injection,28.72,80.45,403,2587,604,Merck,8/4/2022
P00169,Diabetes_Drug_168_92mg,Diabetes,Suppository,17.37,47.18,402,2204,603,Roche,6/19/2022
P00170,Analgesic_Drug_667_422mg,Analgesic,Inhaler,44.2,215.87,237,2554,355,Bayer,1/31/2022
P00171,Antiviral_Drug_394_160mg,Antiviral,Capsule,8.88,39.55,412,2074,618,Bristol-Myers Squibb,6/8/2023
P00172,Antiviral_Drug_224_13mg,Antiviral,Capsule,49.08,191.19,95,2190,142,GSK,12/1/2023
P00173,Oncology_Drug_675_496mg,Oncology,Cream,1.9,6.26,375,2961,562,GSK,2/16/2023
P00174,Ophthalmic_Drug_222_37mg,Ophthalmic,Inhaler,9.51,41.01,327,1719,490,Purdue,7/11/2022
P00175,Cardiovascular_Drug_918_401mg,Cardiovascular,Syrup,17.95,69.34,443,1385,664,Novartis,7/29/2022
P00176,Antibiotic_Drug_704_175mg,Antibiotic,Ointment,37.73,90.18,334,1215,501,Bristol-Myers Squibb,4/5/2023
P00177,Antiviral_Drug_907_33mg,Antiviral,Cream,41.12,113.39,183,2626,274,Johnson & Johnson,6/22/2023
P00178,Antibiotic_Drug_738_285mg,Antibiotic,Ointment,6.01,27.42,53,2500,79,Johnson & Johnson,6/6/2022
P00179,Dermatological_Drug_800_130mg,Dermatological,Syrup,12.27,29.37,224,1473,336,Novo Nordisk,1/17/2023
P00180,Ophthalmic_Drug_604_477mg,Ophthalmic,Suppository,21.57,84.46,70,2850,105,Merck,10/21/2023
P00181,Gastrointestinal_Drug_387_257mg,Gastrointestinal,Cream,12.27,32.38,107,1433,160,Pfizer,6/8/2023
P00182,Antibiotic_Drug_492_208mg,Antibiotic,Inhaler,8.8,22.98,76,2107,114,Bristol-Myers Squibb,11/5/2022
P00183,Oncology_Drug_27_174mg,Oncology,Inhaler,1.88,8.25,99,2535,148,AbbVie,11/24/2023
P00184,Oncology_Drug_378_387mg,Oncology,Syrup,24.59,57.83,453,1026,679,Pfizer,8/24/2022
P00185,Analgesic_Drug_521_166mg,Analgesic,Syrup,8.88,35.12,481,1516,721,Roche,4/27/2022
P00186,Antibiotic_Drug_584_395mg,Antibiotic,Suppository,23.77,96.06,113,571,169,GSK,1/1/2023
P00187,Hormone_Drug_166_32mg,Hormone,Inhaler,38.1,185.09,60,1824,90,Bayer,1/27/2023
P00188,Dermatological_Drug_691_88mg,Dermatological,Ointment,6.04,22.42,90,2948,135,Merck,3/27/2022
P00189,Ophthalmic_Drug_673_202mg,Ophthalmic,Syrup,47.12,104.48,473,2451,709,Pfizer,8/12/2023
P00190,Analgesic_Drug_918_103mg,Analgesic,Capsule,34.78,153.09,243,589,364,GSK,4/16/2022
P00191,Antiviral_Drug_305_360mg,Antiviral,Syrup,44.91,169.95,366,2486,549,Bayer,12/25/2022
P00192,Hormone_Drug_553_370mg,Hormone,Suppository,47.42,183.8,253,1787,379,Purdue,11/14/2022
P00193,Hormone_Drug_383_7mg,Hormone,Injection,27.83,123.9,133,707,199,Sanofi,5/30/2023
P00194,Hormone_Drug_700_362mg,Hormone,Tablet,36.52,138.04,63,1470,94,AbbVie,6/21/2023
P00195,Vitamin_Drug_122_147mg,Vitamin,Injection,17.51,44.59,104,1249,156,Johnson & Johnson,11/5/2022
P00196,Antiviral_Drug_307_300mg,Antiviral,Suppository,36.24,97.32,131,2489,196,AstraZeneca,2/28/2022
P00197,Diabetes_Drug_714_243mg,Diabetes,Syrup,4.54,9.5,84,944,126,Pfizer,11/28/2022
P00198,Cardiovascular_Drug_725_159mg,Cardiovascular,Ointment,42.47,165.05,491,1456,736,AbbVie,12/30/2022
P00199,Vaccine_Drug_956_152mg,Vaccine,Syrup,26.19,98.58,99,2212,148,Sanofi,4/27/2022
P00200,Antibiotic_Drug_740_66mg,Antibiotic,Suppository,39.85,158.01,384,1941,576,Novo Nordisk,1/6/2023
P00201,Respiratory_Drug_637_268mg,Respiratory,Ointment,31.95,134.17,180,1029,270,Novo Nordisk,6/4/2023
P00202,Analgesic_Drug_478_87mg,Analgesic,Suppository,19.27,68.17,347,1439,520,Roche,7/7/2023
P00203,Vaccine_Drug_828_381mg,Vaccine,Ointment,26.23,80.73,160,513,240,GSK,5/25/2022
P00204,Dermatological_Drug_28_66mg,Dermatological,Tablet,1.44,5.42,212,1752,318,AbbVie,11/7/2023
P00205,Vitamin_Drug_303_287mg,Vitamin,Inhaler,9.32,33.17,444,1129,666,Sanofi,12/27/2022
P00206,Cardiovascular_Drug_276_264mg,Cardiovascular,Cream,9.19,23,220,2860,330,Bayer,4/17/2022
P00207,Antipsychotic_Drug_997_204mg,Antipsychotic,Inhaler,42.36,187.1,214,2852,321,AbbVie,1/2/2023
P00208,Hormone_Drug_620_251mg,Hormone,Ointment,14.22,30.88,494,2439,741,Roche,1/20/2022
P00209,Respiratory_Drug_1_119mg,Respiratory,Cream,9.82,22.25,84,697,126,Pfizer,11/22/2023
P00210,Vaccine_Drug_490_276mg,Vaccine,Syrup,48.29,97.3,230,2789,345,GSK,8/5/2022
P00211,Antibiotic_Drug_185_39mg,Antibiotic,Cream,24.95,99.81,272,2974,408,Purdue,5/31/2022
P00212,Vaccine_Drug_308_336mg,Vaccine,Cream,34,166.93,483,1391,724,Pfizer,10/31/2023
P00213,Antidepressant_Drug_495_86mg,Antidepressant,Cream,48.95,152.87,224,2858,336,GSK,5/25/2022
P00214,Respiratory_Drug_303_232mg,Respiratory,Suppository,6.54,28.69,418,1087,627,Purdue,1/1/2022
P00215,Diabetes_Drug_976_142mg,Diabetes,Inhaler,32.91,76.34,102,1827,153,AbbVie,12/5/2023
P00216,Antidepressant_Drug_585_161mg,Antidepressant,Inhaler,43.67,189.84,218,1612,327,Bristol-Myers Squibb,6/8/2022
P00217,Gastrointestinal_Drug_324_98mg,Gastrointestinal,Injection,46.36,153.66,430,993,645,GSK,8/17/2023
P00218,Vitamin_Drug_279_339mg,Vitamin,Tablet,19.41,56.11,414,1854,621,Johnson & Johnson,8/24/2023
P00219,Antipsychotic_Drug_65_76mg,Antipsychotic,Inhaler,35.08,111.05,248,2690,372,Bayer,2/21/2023
P00220,Cardiovascular_Drug_497_291mg,Cardiovascular,Suppository,4.59,17.49,477,2649,715,Sanofi,1/3/2022
P00221,Antipsychotic_Drug_328_304mg,Antipsychotic,Capsule,2.26,6.83,499,2447,748,AbbVie,5/13/2022
P00222,Antibiotic_Drug_293_463mg,Antibiotic,Suppository,30.79,132.23,349,2263,523,Merck,5/13/2023
P00223,Ophthalmic_Drug_427_493mg,Ophthalmic,Injection,22.11,103.7,70,906,105,Roche,5/4/2022
P00224,Hormone_Drug_804_203mg,Hormone,Tablet,46.79,142.94,100,823,150,GSK,11/30/2022
P00225,Vitamin_Drug_373_52mg,Vitamin,Syrup,40.35,145.97,76,2192,114,Sanofi,2/24/2023
P00226,Vaccine_Drug_2_433mg,Vaccine,Capsule,6.97,17.73,126,2637,189,AbbVie,8/9/2023
P00227,Antiviral_Drug_159_71mg,Antiviral,Cream,39.88,101.92,496,2859,744,AstraZeneca,2/5/2022
P00228,Analgesic_Drug_886_263mg,Analgesic,Syrup,19.3,69.08,359,1908,538,Novartis,5/21/2022
P00229,Antiviral_Drug_118_277mg,Antiviral,Ointment,12.18,32.11,263,1743,394,Sanofi,1/13/2023
P00230,Gastrointestinal_Drug_682_72mg,Gastrointestinal,Cream,28.28,78.25,201,1219,301,Purdue,2/19/2022
