TransactionID,Date,ProductID,TransactionType,Quantity,BatchNumber,SupplierID,WarehouseLocation,ExpiryDate,UnitCost,EmployeeID,ReferencePO,ReasonCode,StockLevelAfter
T000025,9/3/2022,P01365,Purchase,2837,BATCH-5792,SUP088,B50,3/28/2025,39.7,EMP011,PO-2022-00339,,3774
T000026,5/4/2023,P01059,Purchase,2189,BATCH-6811,SUP064,D38,11/27/2024,35.27,EMP040,,,5148
T000027,1/20/2023,P01912,Purchase,180,BATCH-8423,SUP013,C10,5/9/2024,8.18,EMP039,PO-2022-00285,,3814
T000028,1/4/2023,P00299,Transfer,13,BATCH-2380,,D34,9/30/2023,46.9,EMP017,,,644
T000029,3/29/2022,P00024,Sale,-58,BATCH-4517,,D39,1/1/2024,19.02,EMP016,,,1334
T000030,8/10/2022,P01948,Purchase,1211,BATCH-8377,SUP099,C01,1/11/2025,13.88,EMP010,,,5797
T000031,2/28/2023,P00525,Adjustment,-13,BATCH-6242,,B18,11/15/2023,24.9,EMP006,,DAMAGE,1850
T000032,5/19/2022,P01975,Return,26,BATCH-2921,,B22,4/2/2023,9.95,EMP003,,RETURN,3959
T000033,10/4/2023,P01234,Sale,-76,BATCH-1578,,A37,8/24/2025,28.75,EMP026,,,4901
T000034,2/5/2022,P01552,Sale,-21,BATCH-6348,,C39,5/11/2024,25.44,EMP044,,,3371
T000035,2/23/2022,P01117,Purchase,1499,BATCH-8928,SUP043,B18,4/28/2024,23.03,EMP004,,,3103
T000036,6/4/2022,P00454,Transfer,82,BATCH-4033,,D22,3/7/2025,31.64,EMP048,,,4196
T000037,3/18/2023,P00724,Purchase,1159,BATCH-9278,SUP142,C40,10/20/2024,36.02,EMP026,,,2419
T000038,9/12/2022,P00956,Purchase,2798,BATCH-3951,SUP060,B08,4/6/2023,4.46,EMP005,PO-2022-01305,,6807
T000039,11/26/2022,P00393,Purchase,480,BATCH-9815,SUP134,A27,10/13/2024,46.61,EMP022,,,5067
T000040,6/5/2022,P00530,Sale,-31,BATCH-5105,,A34,1/11/2023,41.07,EMP007,,,4428
T000041,1/5/2022,P01045,Return,35,BATCH-8465,,B37,10/17/2022,9.96,EMP003,,RETURN,3789
T000042,2/21/2023,P00038,Sale,-89,BATCH-5072,,C44,12/10/2023,46.57,EMP025,,,2815
T000043,3/12/2022,P00264,Purchase,2531,BATCH-8460,SUP021,A50,9/6/2024,44.24,EMP025,PO-2022-01919,,6574
T000044,5/26/2023,P01158,Purchase,160,BATCH-2895,SUP102,A32,5/24/2024,5.66,EMP017,,,3897
T000045,6/18/2022,P01046,Purchase,1202,BATCH-4531,SUP146,A30,7/25/2024,9.95,EMP028,PO-2022-00455,,6197
T000046,11/25/2022,P00460,Purchase,2872,BATCH-8628,SUP043,B17,5/4/2025,23.49,EMP022,,,5499
T000047,10/3/2023,P01830,Sale,-63,BATCH-3274,,B33,5/21/2024,39.71,EMP021,,,3090
T000048,12/1/2023,P00525,Adjustment,23,BATCH-5890,,D08,5/3/2025,24.9,EMP038,,EXPIRED,1873
T000049,10/13/2023,P01435,Sale,-26,BATCH-6981,,D11,4/3/2025,48.39,EMP032,,,983
T000050,7/1/2022,P00921,Transfer,27,BATCH-1728,,B34,3/20/2025,19.56,EMP033,,,3080
T000051,3/10/2022,P00477,Sale,-39,BATCH-3455,,D07,4/2/2023,29.02,EMP011,,,2580
T000052,10/14/2022,P01255,Purchase,182,BATCH-4811,SUP081,B40,2/6/2024,1.15,EMP006,PO-2022-03455,,3036
T000053,12/26/2022,P01324,Sale,-48,BATCH-7811,,A12,10/26/2023,16.4,EMP023,,,2191
T000054,8/2/2023,P01202,Purchase,1936,BATCH-8365,SUP125,B30,2/21/2025,33.09,EMP031,,,6541
T000055,4/16/2023,P01374,Purchase,2748,BATCH-7649,SUP119,B36,1/25/2024,2.16,EMP004,PO-2022-02347,,6262
T000056,5/18/2023,P00506,Sale,-71,BATCH-6741,,D23,3/23/2025,20.14,EMP034,,,1026
T000057,1/21/2023,P01673,Purchase,775,BATCH-3112,SUP121,D40,11/30/2025,13.45,EMP031,,,3481
T000058,7/20/2022,P00811,Sale,-1,BATCH-8338,,A09,1/7/2025,24.25,EMP002,,,2160
T000059,12/23/2022,P01265,Sale,-12,BATCH-1948,,C11,10/31/2024,40.35,EMP001,,,3341
T000060,3/6/2022,P00317,Sale,-75,BATCH-5432,,A35,8/10/2024,23.5,EMP011,,,4878
T000061,7/15/2022,P01574,Sale,-21,BATCH-4658,,D14,1/21/2024,28.2,EMP046,,,2877
T000062,4/1/2023,P00276,Return,46,BATCH-2795,,D13,11/5/2024,7.45,EMP043,,RETURN,1131
T000063,9/9/2023,P01093,Sale,-4,BATCH-9752,,B34,8/7/2025,40.7,EMP007,,,4357
T000064,2/12/2023,P01685,Sale,-19,BATCH-5438,,D06,12/27/2024,44.27,EMP032,,,4270
T000065,5/25/2023,P01314,Sale,-38,BATCH-2179,,B31,3/14/2024,29.67,EMP011,,,3848
T000066,4/29/2022,P00644,Transfer,50,BATCH-2127,,C17,10/25/2023,9,EMP040,,,3934
T000067,12/28/2022,P00082,Sale,-48,BATCH-7399,,C26,4/1/2025,40.45,EMP005,,,2878
T000068,12/1/2022,P00685,Sale,-17,BATCH-2080,,C20,12/2/2023,40.36,EMP037,,,3131
T000069,12/29/2022,P01615,Return,35,BATCH-4504,,B50,5/8/2024,25.24,EMP027,,RETURN,2843
T000070,10/3/2022,P00825,Purchase,2938,BATCH-5616,SUP107,D28,1/31/2025,49.07,EMP046,,,6727
T000071,7/6/2023,P00360,Purchase,1664,BATCH-5052,SUP036,C22,3/6/2024,30.74,EMP043,PO-2022-00393,,3437
T000072,12/22/2023,P01002,Purchase,226,BATCH-5162,SUP107,A43,9/17/2024,3.44,EMP037,,,896
T000073,2/15/2022,P00025,Purchase,2496,BATCH-5856,SUP106,B24,10/22/2023,29.95,EMP038,PO-2022-01026,,5611
T000074,9/3/2022,P01190,Sale,-65,BATCH-8133,,A22,2/16/2024,35.67,EMP019,,,846
T000075,2/3/2022,P00719,Sale,-67,BATCH-5799,,D30,11/23/2022,32.5,EMP037,,,1406
T000076,10/5/2022,P01773,Write-off,-94,BATCH-7922,,C42,12/29/2023,22.75,EMP003,,OTHER,3850
T000077,9/1/2023,P00343,Purchase,874,BATCH-5856,SUP091,C25,12/11/2024,21.14,EMP015,,,3977
T000078,12/18/2023,P00184,Purchase,722,BATCH-9183,SUP140,C10,10/31/2025,24.59,EMP003,PO-2022-03903,,5114
T000079,5/28/2022,P00732,Purchase,1697,BATCH-6481,SUP063,B28,2/24/2025,30.23,EMP045,,,2551
T000080,4/6/2022,P00658,Sale,-22,BATCH-9751,,D49,4/23/2023,20.4,EMP009,,,833
T000081,5/4/2022,P00200,Purchase,256,BATCH-5390,SUP144,A39,11/15/2024,39.85,EMP007,PO-2022-03630,,4346
T000082,9/12/2023,P01932,Sale,-83,BATCH-7415,,A19,1/31/2026,18.92,EMP021,,,2840
T000083,7/30/2022,P01785,Purchase,1632,BATCH-7604,SUP080,C28,4/9/2024,34.26,EMP025,PO-2022-02726,,4820
T000084,3/29/2023,P01325,Sale,-14,BATCH-4081,,B48,10/28/2023,14.62,EMP018,,,3002
T000085,11/12/2022,P01344,Sale,-42,BATCH-2495,,C04,6/18/2024,3.21,EMP005,,,1084
T000086,3/30/2023,P00882,Purchase,2981,BATCH-6194,SUP094,A20,12/8/2024,11.64,EMP024,PO-2022-01474,,4745
T000087,9/5/2022,P00116,Purchase,1378,BATCH-7998,SUP046,B21,1/31/2024,31.13,EMP006,PO-2022-03068,,4570
T000088,2/28/2022,P00716,Adjustment,-15,BATCH-2092,,C28,8/31/2024,32.03,EMP042,,RETURN,3441
T000089,8/3/2023,P01657,Purchase,2885,BATCH-2687,SUP148,A06,11/25/2024,30.77,EMP006,PO-2022-01096,,4303
T000090,4/1/2022,P00194,Purchase,1417,BATCH-8089,SUP085,B21,2/6/2024,36.52,EMP020,PO-2022-02255,,5431
T000091,4/4/2023,P01357,Purchase,2211,BATCH-4642,SUP041,D12,6/22/2024,46.73,EMP045,PO-2022-02085,,5485
T000092,1/25/2022,P01919,Sale,-74,BATCH-2346,,D02,11/16/2022,16.28,EMP005,,,4210
T000093,12/15/2023,P01839,Sale,-36,BATCH-2427,,B42,3/27/2025,48.63,EMP040,,,3903
T000094,1/22/2023,P01439,Sale,-44,BATCH-5319,,C16,6/4/2025,14.32,EMP044,,,2524
T000095,2/11/2022,P01173,Purchase,2872,BATCH-7920,SUP106,A29,1/20/2024,41.27,EMP048,PO-2022-02179,,6017
T000096,1/21/2023,P00801,Transfer,63,BATCH-1514,,A39,2/18/2025,42.65,EMP025,,,4300
T000097,5/13/2022,P01143,Purchase,1032,BATCH-8617,SUP146,B20,4/26/2023,23.67,EMP036,,,5199
T000098,6/1/2023,P00360,Purchase,167,BATCH-5347,SUP005,B06,10/4/2025,30.74,EMP022,PO-2022-01952,,3604
T000099,2/12/2023,P00469,Sale,-16,BATCH-4206,,C43,1/5/2025,27.24,EMP041,,,3189
T000100,7/29/2023,P01457,Sale,-66,BATCH-9216,,A29,6/28/2026,43.09,EMP006,,,3012
T000101,7/7/2022,P00705,Purchase,791,BATCH-6514,SUP135,D42,4/3/2024,28.22,EMP034,PO-2022-00399,,3050
T000102,9/7/2023,P00337,Purchase,2022,BATCH-2353,SUP012,A28,4/21/2024,2.95,EMP046,,,4615
T000103,2/24/2022,P01363,Sale,-96,BATCH-8696,,C44,9/8/2024,46.71,EMP011,,,3282
T000104,9/16/2022,P01975,Sale,-69,BATCH-1130,,D09,11/7/2024,9.95,EMP013,,,3890
T000105,6/2/2022,P01400,Sale,-67,BATCH-1204,,A41,9/20/2024,4.55,EMP039,,,4820
T000106,4/25/2023,P00926,Sale,-2,BATCH-6930,,C14,12/5/2025,45.08,EMP033,,,2653
T000107,2/16/2023,P01866,Write-off,-62,BATCH-5271,,B47,8/8/2025,4.69,EMP023,,THEFT,2779
T000108,8/24/2022,P01916,Sale,-85,BATCH-9462,,B49,4/2/2025,41.06,EMP018,,,1973
T000109,6/15/2022,P01252,Sale,-26,BATCH-8556,,D14,2/9/2023,34.59,EMP038,,,3925
T000110,8/17/2023,P01181,Purchase,1826,BATCH-9050,SUP113,D49,10/11/2024,34.73,EMP040,PO-2022-04039,,3300
T000111,5/1/2022,P00966,Sale,-8,BATCH-9763,,C27,2/15/2025,46.34,EMP049,,,3494
T000112,5/22/2023,P00374,Sale,-49,BATCH-6519,,C50,3/8/2024,1.7,EMP010,,,580
T000113,5/15/2023,P00675,Sale,-19,BATCH-2694,,A20,11/24/2025,21.12,EMP049,,,4139
T000114,7/15/2023,P01530,Sale,-52,BATCH-2263,,C28,5/2/2025,29.42,EMP036,,,817
T000115,11/12/2023,P01222,Purchase,1854,BATCH-5346,SUP018,B50,11/18/2025,13.11,EMP034,,,4342
T000116,5/2/2023,P00216,Purchase,1769,BATCH-3444,SUP091,B15,3/15/2024,43.67,EMP027,PO-2022-01462,,2857
T000117,11/11/2022,P00112,Sale,-7,BATCH-6675,,C22,5/11/2024,2.64,EMP022,,,2004
T000118,11/5/2023,P01620,Purchase,1394,BATCH-9441,SUP147,A46,6/7/2024,10.41,EMP042,PO-2022-00211,,3988
T000119,6/7/2022,P01675,Purchase,2529,BATCH-6685,SUP118,D31,9/24/2023,35.72,EMP019,PO-2022-03267,,4795
T000120,2/19/2023,P00874,Sale,-41,BATCH-8419,,B09,10/24/2024,29.7,EMP049,,,2316
T000121,6/26/2023,P01069,Purchase,253,BATCH-7736,SUP044,C29,7/26/2025,14.95,EMP008,PO-2022-03320,,1182
T000122,9/16/2023,P01057,Purchase,1769,BATCH-1228,SUP140,D29,5/27/2026,16,EMP027,PO-2022-00007,,6619
T000123,9/10/2023,P01966,Purchase,1354,BATCH-6793,SUP019,D11,5/23/2026,10.15,EMP002,PO-2022-02441,,4923
T000124,9/23/2022,P00083,Sale,-15,BATCH-8441,,B38,9/26/2024,45.3,EMP012,,,4438
T000125,6/18/2023,P01554,Purchase,1824,BATCH-7596,SUP086,C42,3/23/2025,1.44,EMP031,PO-2022-03198,,4001
T000126,9/9/2023,P01790,Sale,-35,BATCH-4224,,D45,5/17/2026,17.99,EMP002,,,2563
T000127,4/19/2022,P00219,Sale,-63,BATCH-7808,,D32,7/18/2024,35.08,EMP041,,,2836
T000128,8/20/2023,P01279,Sale,-1,BATCH-5219,,D44,4/2/2026,21.83,EMP003,,,1385
T000129,12/30/2022,P01893,Return,4,BATCH-2302,,B11,11/23/2023,9.75,EMP026,,RETURN,4170
T000130,4/27/2022,P01708,Adjustment,15,BATCH-2815,,B32,10/22/2024,48.23,EMP027,,EXPIRED,1931
T000131,12/15/2023,P01611,Transfer,83,BATCH-6312,,D01,2/2/2025,23.04,EMP012,,,4633
T000132,9/3/2022,P01278,Purchase,2428,BATCH-9749,SUP074,D41,8/23/2023,40.64,EMP029,PO-2022-01844,,4906
T000133,11/1/2022,P00875,Purchase,431,BATCH-9481,SUP056,A39,6/10/2025,36.16,EMP035,PO-2022-03206,,2645
T000134,12/3/2022,P01054,Sale,-15,BATCH-6426,,A23,12/14/2024,47.31,EMP042,,,2814
T000135,1/26/2022,P00523,Purchase,492,BATCH-5603,SUP078,B22,11/11/2023,49.35,EMP014,PO-2022-04942,,4323
T000136,3/12/2022,P00210,Sale,-15,BATCH-1666,,C39,3/5/2024,48.29,EMP019,,,3447
T000137,11/13/2023,P00978,Purchase,327,BATCH-4959,SUP024,A44,4/2/2026,5.25,EMP031,PO-2022-04811,,4400
T000138,9/22/2022,P01074,Return,19,BATCH-3820,,B05,1/22/2024,4.9,EMP025,,RETURN,2097
T000139,7/26/2022,P01349,Write-off,-34,BATCH-4043,,B25,9/15/2024,36.15,EMP018,,DAMAGE,1087
T000140,10/12/2023,P00609,Purchase,884,BATCH-5804,SUP005,C01,8/8/2025,30.08,EMP010,,,2215
T000141,6/4/2022,P01976,Purchase,2176,BATCH-9496,SUP056,D50,12/9/2022,39.24,EMP014,,,4983
T000142,8/18/2022,P00393,Sale,-75,BATCH-3817,,C04,4/2/2025,46.61,EMP035,,,4992
T000143,8/10/2023,P01828,Purchase,2256,BATCH-1665,SUP090,B04,8/23/2025,17.79,EMP001,PO-2022-04237,,5103
T000144,2/9/2022,P00222,Purchase,1966,BATCH-8627,SUP032,C30,10/23/2024,30.79,EMP048,PO-2022-03580,,6519
T000145,2/20/2023,P00600,Sale,-3,BATCH-1139,,A49,11/17/2024,30.55,EMP024,,,3064
T000146,3/17/2022,P01570,Sale,-34,BATCH-3081,,A19,2/29/2024,17.44,EMP032,,,3086
T000147,9/8/2022,P00241,Purchase,404,BATCH-1639,SUP052,D34,9/28/2024,19.74,EMP040,PO-2022-01196,,2934
T000148,5/13/2023,P00132,Purchase,475,BATCH-9523,SUP062,A30,4/11/2024,29.57,EMP049,PO-2022-04086,,4646
T000149,11/13/2023,P01099,Return,36,BATCH-3121,,D22,10/24/2026,23.55,EMP039,,RETURN,4498
T000150,2/25/2023,P00673,Return,40,BATCH-4341,,C14,2/28/2024,3.41,EMP013,,RETURN,1224
T000151,11/9/2023,P01181,Purchase,391,BATCH-4736,SUP111,C39,8/26/2025,34.73,EMP008,PO-2022-01993,,3691
T000152,3/9/2023,P01193,Purchase,483,BATCH-2976,SUP063,B41,3/2/2024,1.73,EMP002,PO-2022-02966,,3266
T000153,12/8/2023,P00797,Purchase,1352,BATCH-2349,SUP030,A10,5/28/2026,26.18,EMP026,PO-2022-01925,,3261
T000154,3/12/2022,P00091,Sale,-61,BATCH-3245,,D34,3/23/2023,19.15,EMP013,,,1820
T000155,3/24/2023,P01321,Sale,-37,BATCH-6603,,C22,3/18/2025,8.72,EMP006,,,1886
T000156,12/12/2022,P00715,Purchase,2872,BATCH-5104,SUP148,C21,11/5/2023,41.63,EMP034,PO-2022-03195,,7536
T000157,1/29/2022,P01638,Sale,-80,BATCH-3225,,A18,12/26/2024,36.16,EMP049,,,4575
T000158,7/8/2022,P00065,Purchase,2371,BATCH-8471,SUP077,C04,7/14/2023,29.48,EMP024,,,3917
T000159,4/3/2023,P00158,Sale,-72,BATCH-9464,,A26,8/26/2024,47.55,EMP017,,,4507
T000160,6/12/2022,P01198,Sale,-45,BATCH-9805,,C44,11/4/2023,21.05,EMP042,,,1206
T000161,7/7/2022,P00440,Purchase,1143,BATCH-2520,SUP026,B02,12/30/2024,36.01,EMP010,,,4900
T000162,10/27/2023,P01244,Adjustment,14,BATCH-7118,,A25,4/24/2024,23.27,EMP012,,OTHER,2583
T000163,7/20/2022,P01929,Purchase,508,BATCH-2239,SUP055,B32,7/4/2024,27.46,EMP027,PO-2022-00666,,4702
T000164,11/15/2023,P01976,Write-off,-6,BATCH-9860,,C41,2/27/2026,39.24,EMP012,,DAMAGE,4977
T000165,5/19/2022,P01071,Purchase,1687,BATCH-8030,SUP068,A40,8/7/2024,24.53,EMP026,,,3744
T000166,11/23/2022,P01995,Sale,-22,BATCH-9489,,A38,6/3/2025,22.84,EMP020,,,3014
T000167,11/13/2022,P01235,Purchase,729,BATCH-7605,SUP054,A20,2/6/2025,29.21,EMP044,PO-2022-04669,,3915
T000168,10/25/2022,P01833,Purchase,1582,BATCH-7932,SUP128,B12,4/30/2024,14.8,EMP023,,,3363
T000169,9/3/2023,P01423,Transfer,92,BATCH-6496,,C34,8/1/2025,45.27,EMP027,,,1510
T000170,5/29/2023,P00902,Sale,-29,BATCH-1040,,B15,7/7/2024,7.06,EMP015,,,2875
T000171,1/29/2023,P00266,Return,32,BATCH-1666,,B14,5/14/2024,18.31,EMP025,,RETURN,2991
T000172,2/3/2023,P01097,Purchase,2321,BATCH-9281,SUP131,C25,5/18/2024,6.69,EMP043,,,5710
T000173,7/5/2022,P01029,Purchase,2326,BATCH-1123,SUP013,C14,11/22/2024,48.48,EMP004,,,6324
T000174,4/17/2022,P00571,Purchase,620,BATCH-4901,SUP117,B35,4/18/2023,9.91,EMP032,,,1688
T000175,12/14/2023,P01904,Purchase,1424,BATCH-3426,SUP005,D34,4/6/2026,27.34,EMP001,,,5872
T000176,3/8/2022,P01749,Transfer,42,BATCH-8793,,B44,1/14/2025,36.57,EMP013,,,4756
T000177,10/17/2022,P01136,Sale,-82,BATCH-2928,,C42,11/24/2023,5.59,EMP032,,,992
T000178,3/30/2023,P00363,Purchase,2923,BATCH-4942,SUP026,C04,8/16/2025,29.57,EMP017,PO-2022-04546,,5350
T000179,11/11/2022,P00606,Purchase,2568,BATCH-5179,SUP135,C03,9/9/2025,30.44,EMP035,PO-2022-02727,,4214
T000180,4/16/2022,P00656,Purchase,2318,BATCH-9870,SUP056,D40,3/5/2025,36.81,EMP026,PO-2022-03809,,4247
T000181,12/1/2022,P01892,Purchase,729,BATCH-5034,SUP129,D05,8/21/2024,31.75,EMP047,,,5391
T000182,11/11/2023,P00685,Return,26,BATCH-7513,,D46,12/22/2024,40.36,EMP034,,RETURN,3157
T000183,11/11/2023,P01321,Purchase,612,BATCH-9841,SUP010,B09,9/28/2024,8.72,EMP039,PO-2022-03425,,2498
T000184,7/13/2022,P00522,Sale,-30,BATCH-1789,,A22,10/14/2023,15.82,EMP042,,,4236
T000185,8/16/2022,P01821,Purchase,516,BATCH-7225,SUP072,B36,2/14/2024,17.61,EMP048,,,2962
T000186,12/19/2023,P01878,Purchase,922,BATCH-1962,SUP057,A47,3/17/2026,33.33,EMP002,PO-2022-03030,,1683
T000187,11/8/2023,P00605,Purchase,2800,BATCH-4644,SUP123,D09,10/6/2025,20.5,EMP045,PO-2022-00361,,7782
T000188,2/25/2022,P00192,Sale,-80,BATCH-7401,,D22,6/3/2023,47.42,EMP039,,,4026
T000189,12/30/2023,P00142,Purchase,2550,BATCH-3761,SUP084,B28,7/6/2026,7.62,EMP034,,,3187
T000190,8/17/2023,P00216,Purchase,1014,BATCH-6062,SUP126,C04,12/27/2024,43.67,EMP004,,,3871
T000191,3/26/2022,P00515,Sale,-29,BATCH-2723,,A19,10/1/2023,21.74,EMP017,,,3573
T000192,6/16/2023,P00924,Sale,-10,BATCH-7513,,C16,10/3/2025,20.04,EMP004,,,2721
T000193,6/18/2023,P01863,Purchase,2553,BATCH-6702,SUP068,A10,2/13/2025,8.93,EMP003,PO-2022-01086,,5896
T000194,9/7/2023,P01324,Purchase,2358,BATCH-6600,SUP027,A26,5/11/2024,16.4,EMP026,PO-2022-01570,,4549
T000195,6/3/2022,P00462,Purchase,467,BATCH-2402,SUP099,A14,10/14/2024,26.17,EMP037,PO-2022-02464,,1582
T000196,10/4/2023,P00517,Purchase,2020,BATCH-9650,SUP024,A47,12/4/2025,2.47,EMP010,PO-2022-04727,,6264
T000197,12/20/2023,P00753,Purchase,1159,BATCH-2492,SUP048,B13,8/24/2025,29.3,EMP021,PO-2022-04483,,3823
T000198,2/22/2023,P00219,Sale,-27,BATCH-9734,,A13,4/12/2025,35.08,EMP004,,,2809
T000199,5/4/2022,P00400,Sale,-49,BATCH-6025,,C03,12/4/2023,26.38,EMP002,,,2768
T000200,11/25/2022,P00635,Sale,-77,BATCH-2064,,B26,8/9/2023,16.83,EMP035,,,3100
T000201,5/30/2022,P00560,Purchase,2723,BATCH-4431,SUP080,D31,11/22/2023,43.78,EMP003,,,6070
T000202,4/5/2022,P01125,Sale,-83,BATCH-7090,,C21,12/22/2022,15.5,EMP007,,,3532
T000203,2/17/2023,P00003,Purchase,716,BATCH-2328,SUP096,C26,10/14/2023,15.91,EMP009,PO-2022-03704,,3166
T000204,10/23/2023,P01147,Sale,-4,BATCH-7599,,D22,8/13/2025,37.67,EMP001,,,1951
T000205,3/22/2023,P00207,Sale,-59,BATCH-4143,,D01,11/30/2025,42.36,EMP033,,,4420
T000206,4/23/2022,P01256,Purchase,2635,BATCH-8537,SUP136,C40,9/16/2024,5.48,EMP048,PO-2022-04717,,7406
T000207,2/6/2023,P00707,Purchase,455,BATCH-8094,SUP001,D27,5/3/2024,16.42,EMP022,PO-2022-04227,,3759
T000208,4/24/2022,P00929,Sale,-60,BATCH-1826,,B37,12/12/2023,22.17,EMP016,,,4035
T000209,4/7/2023,P00180,Return,41,BATCH-1086,,C26,11/23/2025,21.57,EMP045,,RETURN,3330
T000210,1/4/2023,P01691,Write-off,-9,BATCH-8664,,A39,7/18/2025,15.96,EMP015,,RETURN,3962
T000211,12/11/2022,P01554,Purchase,2952,BATCH-9915,SUP087,D03,5/29/2025,1.44,EMP015,,,6953
T000212,10/8/2022,P00405,Purchase,1979,BATCH-3752,SUP145,A49,8/17/2025,49.1,EMP025,PO-2022-02502,,5137
T000213,9/3/2022,P00743,Sale,-75,BATCH-4629,,B46,12/16/2024,45.02,EMP015,,,1565
T000214,6/3/2023,P01637,Purchase,1351,BATCH-3661,SUP110,D37,11/20/2024,27.43,EMP005,PO-2022-03345,,5604
T000215,5/26/2022,P01291,Sale,-8,BATCH-2624,,B09,8/24/2023,11.52,EMP027,,,1631
T000216,10/27/2023,P00186,Adjustment,-29,BATCH-8367,,D36,12/15/2024,23.77,EMP002,,EXPIRED,4203
T000217,9/20/2022,P01075,Purchase,2990,BATCH-1439,SUP111,A20,6/1/2025,32.44,EMP021,PO-2022-02195,,4922
T000218,9/27/2022,P00984,Purchase,2088,BATCH-5294,SUP006,A09,4/2/2025,21.03,EMP042,,,2887
T000219,5/2/2023,P00404,Purchase,222,BATCH-1013,SUP023,A15,10/7/2025,18.92,EMP021,,,4227
T000220,8/20/2023,P00092,Sale,-46,BATCH-1090,,C09,5/15/2025,8.24,EMP022,,,815
T000221,1/29/2023,P00594,Purchase,604,BATCH-8679,SUP125,C34,11/8/2024,2.47,EMP046,PO-2022-04105,,3910
T000222,6/29/2022,P00677,Sale,-73,BATCH-4430,,C01,2/11/2024,29.18,EMP005,,,3064
T000223,3/11/2023,P01101,Purchase,1800,BATCH-6594,SUP105,D04,2/4/2024,35.69,EMP012,,,2342
T000224,5/30/2023,P01609,Sale,-72,BATCH-7363,,A34,1/10/2025,22.19,EMP020,,,4745
T000225,7/31/2023,P01309,Sale,-62,BATCH-2663,,D45,12/4/2025,22.51,EMP040,,,1214
T000226,10/4/2023,P00989,Sale,-76,BATCH-8249,,A44,12/28/2025,1.79,EMP015,,,3827
T000227,9/18/2023,P00361,Purchase,1224,BATCH-1428,SUP035,C19,7/5/2025,27.54,EMP012,PO-2022-00611,,4987
T000228,7/30/2023,P01983,Purchase,140,BATCH-4363,SUP002,C12,5/30/2026,43.75,EMP020,PO-2022-01351,,3490
T000229,8/23/2022,P01524,Sale,-71,BATCH-8542,,C26,5/21/2025,29.28,EMP010,,,1574
T000230,11/22/2023,P00005,Purchase,2891,BATCH-7907,SUP065,D24,11/13/2025,9.36,EMP027,,,3394
